1494 est une                        c' est une petite bouche ?
1514 est en                         qu' il est en train
1518 est en                         il est en train de s'
1524 est en                         il est en train de se
1525 est une                        # c' est une grande maison
1526 est en                         qu' il est en train
1527 sont en                        où ils sont en train
1536 chercher une                   veux bien chercher une image
1536 sont en                        où ils sont en train
1546 veux encore                    tu veux encore boire ?
1548 rajouter un                    t' en rajouter un petit
1551 chercher un                    va te chercher un peu
1572 chanter une                    veux lui chanter une petite
1572 chanson à                     une petite chanson à valérie
1586 peut en                        là on peut en rajouter
1586 rajouter une                   peut en rajouter une .
1592 maman elle                     marie , maman elle a faim
1593 donnes à                      tu lui donnes à manger ?
1596 aimerais autre                 # j' aimerais autre chose .
1597 donnes autre                   tu me donnes autre chose ?
1603 vas où                        tu vas où ?
1604 vin avec                       chercher du vin avec la voiture
1608 donnes un                      m' en donnes un peu
1614 bas alors                      plutôt là bas alors .
1617 as un                          t' as un peu de papier
1628 pas ensemble                   ça va pas ensemble .
1660 pas encore                     euh pas encore mais bientôt .
1663 est un                         vois c' est un bord
1664 est en                         on est en train de faire
1672 puis à                        puis à côté tu peux mettre
1673 non à                         non à côté .
1678 bord y                         que le bord y soit là
1697 après i(l)                    après i(l) doit y avoir peut-être
1697 doit y                         après i(l) doit y avoir peut-être
1701 vois il                        tu vois il y a les
1712 continuer avec                 tu veux continuer avec maman ?
1717 doit être                     ça doit être juste .
1725 bien aller                     il peut bien aller ?
1769 dort avec                      il dort avec son chapeau sur
1773 alors on                       alors on remet ça dans la
1793 as une                         t' as une drôle de position
1799 et on                          et on marche pas sur l(e)
1816 est à                         il est à qui ?
1817 est à                         il est à qui celui là
1819 est à                         ah il est à qui ?
1820 est à                         il est à grand papa et
1820 et à                          grand papa et à grand
1823 p(e)tits oiseaux               vu les p(e)tits oiseaux ?
1824 vont au                        s' en vont au champ
1827 vont au                        s' en vont au champ
1828 est une                        c' est une histoire de poules
1834 irons au                       trois nous irons au bois
1836 est un                         c' est un p(e)tit oiseau qui
1836 p(e)tit oiseau                 est un p(e)tit oiseau qui
1840 est en                         ça c' est en bateau
1848 était une                     il était une bergère héron héron
1848 héron héron                  une bergère héron héron petit
1849 était une                     il était une bergère qui gardait
1865 vois il                        tu vois il est dans son
1868 quand y                        quand y a l' arbre qui
1868 boules et                      a les boules et puis
1875 pas un                         y a pas un chant
1876 est une                        c' est une image .
1877 vont au                        s' en vont au champ
1879 vont au                        s' en vont au champ
1882 vont au                        s' en vont au champ
1885 vont au                        s' en vont au .
1889 pas une                        c' est pas une chanson la
1890 est une                        c' est une chanson ?
1891 est une                        c' est une chanson ça ?
1894 doit être                     ça doit être la mimi cracra
1907 est un                         ça c' est un monsieur qui
1914 vois il                        tu vois il a un nez
1915 nez et                         # un nez et encore un
1915 et encore                      un nez et encore un
1916 fait encore                    ça ça fait encore un
1919 nez aussi                      ont des nez aussi longs
1922 nez est                        mais le nez est tellement long
1927 fait un                        i(l) fait un pont .
1932 brun attrape                   petit lièvre brun attrape les longues
1932 brun et                        grand lièvre brun et ne
1937 petit il                       combien son petit il l'
1941 et il                          et il écarte très fort ses
1965 jouer avec                     tu veux jouer avec les bulles
1984 ballons aussi                  les ballons aussi ?
1993 est une                        oui c' est une couleur .
1999 est où                        c' est où stop ?
2015 veux encore                    tu veux encore essayer ?
2025 vas où                        tu vas où ?
2033 objets à                      chercher des objets à la
2039 veux encore                    tu veux encore en faire ?
2040 veux encore                    tu veux encore ?
2059 fâcher avec                   vais m(e) fâcher avec toi
2069 fait autre                     , on fait autre chose
2107 mais il                        mais il est plus gros .
2112 alors il                       alors il faut lâcher là .
2113 faut enlever                   faut enlever .
2116 faisais avant                  que tu faisais avant ,
2118 est un                         c' est un peu plus difficile
2128 est à                         , c' est à marie
2129 prêtes une                    tu me prêtes une chaise ?
2131 assieds où                    je m' assieds où ?
2137 mais il                        oui , mais il faut la
2138 autrement elle                 parce qu' autrement elle tombe .
2158 autrement il                   autrement il y a toute la
2160 est une                        mais c' est une bonne idée
2190 mais il                        mais il faut d' abord renfermer
2196 rien à                        y a rien à faire
2197 rien à                        y a rien à faire
2201 rien à                        y a rien à faire
2206 parler autrement               il faut parler autrement ,
2209 jouer avec                     veux pas jouer avec les
2210 alors on                       alors on fait autre chose .
2210 fait autre                     alors on fait autre chose .
2211 jouer avec                     on pourrait jouer avec le
2213 est à                         oui c' est à toi .
2217 bison et                       , un bison et un
2217 et un                          un bison et un canard
2226 aides à                       tu m' aides à chercher ?
2227 est où                        il est où là , le
2229 alors on                       accord , alors on va
2232 est où                        , il est où le
2234 est où                        , il est où le
2235 est aussi                      ça c' est aussi un
2236 est où                        , il est où ?
2246 pas un                         c' est pas un chat ça
2247 est un                         ça c' est un chat .
2250 est un                         ça c' est un chat .
2255 et un                          et un chat .
2256 était en                      , c' était en vacances
2258 est y                          ça c' est y a pas
2262 est un                         , c' est un chat
2265 et ici                         et ici , il est où
2265 est où                        , il est où le
2269 pas encore                     tu sais pas encore bien lire
2277 chat hein                      , ce chat hein ?
2280 est où                        elle est où la tête ?
2284 est où                        elle est où la tête là
2286 puis encore                    et puis encore un morceau de
2303 alors il                       ah , alors il faut tirer
2334 bruit et                       trop de bruit et ça
2340 pas encore                     non , pas encore .
2359 fais attention                 hm , fais attention !
2360 volets et                      ouvre les volets et les
2362 ouvert oui                     est déjà ouvert oui .
2365 stores ouais                   est des stores ouais .
2366 volets ici                     pas des volets ici .
2369 est aussi                      kahid c' est aussi des
2375 bien aussi                     j' aimerais bien aussi un
2377 peux encore                    euh j(e) peux encore choisir .
2394 maman ou                       pour maman ou pour marie ?
2405 mais il                        mais il se cogne le nez
2411 sont où                       i(l) sont où ?
2412 sont où                       i(l) sont où les animaux ?
2413 sont au                        i(l) sont au zoo , marie
2414 sont allés                    ils sont allés au zoo pour
