1      n' monte                      nm§t                         non on n' monte pas
19811  l' ciel                       lsjEl                        dans l' ciel ?
19812  l' ciel                       lsjEl                        aussi dans l' ciel ?
19814  l' ciel                       lsjEl                        est dans l' ciel ?
19815  n' est                        ne                           mamy n' est pas dans l'
19815  l' ciel                       lsjEl                        pas dans l' ciel .
19817  d' mamy                       dma-mi                       la maison d' mamy c' est
19817  c' est                        se                           d' mamy c' est pas
19817  l' ciel                       lsjEl                        pas dans l' ciel .
19818  l' avion                      la-vj§                       aller dans l' avion pour
19818  pour aller                    pu Ra-le                      l' avion pour aller chez
19819  l' avion                      la-vj§                       ah l' avion je n' sais
19819  n' sais                       nsE                          avion je n' sais pas
19819  il est                        i le                          pas ou il est .
19820  il a                          i la                          il a eu un accident ?
19820  un accident                   1 nak-si-d@                   a eu un accident ?
19827  une auto                      y no-to                       va ecouter une auto ?
19828  t' as                         ta                           t' as d' ja ecoute une
19828  d' ja                         d#                           t' as d' ja ecoute une
19828  ecoute une                    e-ku tyn                      d' ja ecoute une auto
19828  une auto                      ty no-to                      ja ecoute une auto ?
19829  qu' est-ce                    kEs                          qu' est-ce que c' est ecouter
19829  c' est                        se                           est-ce que c' est ecouter
19830  c' est                        se                           c' est avec ses oreilles qu'
19830  ses oreilles                  se zo-REj                     est avec ses oreilles qu'
19830  qu' on                        k§n                          ses oreilles qu' on ecoute
19830  on ecoute                     k§ ne-kut                     oreilles qu' on ecoute .
19833  ecoute ecoute                 e-ku te-kut                   ecoute ecoute .
19834  qu' est-ce                    kEs                          qu' est-ce que papa fait ?
19835  tape a                        ta pa                         i' tape a la machine .
19837  qu' il                        kil                          ben parce qu' il est a
19837  il est                        ki le                         parce qu' il est a
19840  n' mets                       nmE                          n' mets pas tes doigts sur
19841  l' micro                      lmi-kRo                      pas dans l' micro si
19843  l' horloge                    lOR-lOZ                      regarde l' horloge .
19846  on entend                     § n@-t@                       on entend papa hein ?
19847  qu' est-ce                    kEs                          qu' est-ce qu' i' va v'
19847  qu' i'                        ki                           qu' est-ce qu' i' va v'
19848  n' va                         nva                          non i' n' va pas travailler
19849  venir essayer                 v°-ni Re-se-je                i' va venir essayer son pantalon
19850  l' ambulance                  l@-by-l@s                    l' ambulance chez mamy ?
19852  l' as                         la                           tu l' as vue ?
19857  n' sais                       nsE                          ah je n' sais pas si
19858  un autre                      1 notR                        un autre .
19859  il a                          i la                          jef il a demande un camion
19859  demande un                    d°-m@ d1                      il a demande un camion
19860  qu' i'                        ki                           pompier jef qu' i' voudrait
19862  avoir un                      a-vwa R1                      tu vas avoir un grand casque
19863  t' as                         ta                           non toi t' as demande des
19863  des autos                     de zo-to                      as demande des autos sur
19863  sur un                        sy R1                         des autos sur un circuit
19864  casque aussi                  kas ko-si                     un grand casque aussi ?
19866  c' est                        se                           un casque c' est pas un
19867  c' est                        se                           un casque c' est pas un
19867  tete un                       tE t1                         sur sa tete un casque
19868  c' est                        se                           non ca c' est un
19869  c' est                        se                           un casque c' est dur .
19870  c' est                        se                           c' est dur un casque .
19870  dur un                        dy R1                         c' est dur un casque .
19871  c' est                        se                           c' est comme du fer .
19875  une image                     y ni-maZ                      y a une image de
19875  avec un                       a-vE k1                       de pompier avec un casque
19881  casque et                     kas ke                        chapeau le casque et c'
19881  c' est                        se                           casque et c' est tout
19884  l' eau                        lo                           l' eau vient par la oui
19886  l' ecole                      le-kOl                       sais hein l' ecole elle
19886  ecole elle                    le-kO lEl                     hein l' ecole elle va
19886  plus etre                     ply zEtR                      elle va plus etre fermee
19887  etre ouverte                  E tRu-vERt                    elle va etre ouverte lundi .
19888  l' ecole                      le-kOl                       aller a l' ecole .
19893  c' est                        se                           c' est bientot ca .
19894  jours et                      Zu Re                         encore deux jours et puis c'
19894  c' est                        se                           et puis c' est l'
19894  l' ecole                      le-kOl                       c' est l' ecole ouverte
19894  ecole ouverte                 le-kO lu-vERt                 est l' ecole ouverte .
19897  jours et                      Zu Re                         trois jours et puis l' ecole
19897  l' ecole                      le-kOl                       et puis l' ecole s'
19897  s' ra                         sRa                          l' ecole s' ra ouverte
19898  t' iras                       ti-Ra                        et t' iras a l' ecole
19898  l' ecole                      le-kOl                       iras a l' ecole ?
19903  n' est                        ne                           non i' n' est plus la
19904  il est                        i le                          oh il est parti ailleurs .
19905  il est                        i le                          il est alle voir les aut'
19905  petits enfants                p°-ti z@-f@                   les aut' petits enfants .
19908  qu' est-ce                    kEs                          et jackie qu' est-ce qu' elle
19908  qu' elle                      kEl                          qu' est-ce qu' elle va
19909  qu' est-ce                    kEs                          ah qu' est-ce qu' elle a
19909  qu' elle                      kEl                          qu' est-ce qu' elle a
19909  elle a                        kE la                         est-ce qu' elle a fait
19909  elle est                      E le                          quan quan elle est venue
19911  qu' est-ce                    kEs                          qu' est-ce qu' i' vient d'
19911  qu' i'                        ki                           qu' est-ce qu' i' vient d'
19911  d' tomber                     dt§-be                       i' vient d' tomber ?
19913  c' ui~la                      s#                           c' ui~la ?
19914  t' as                         ta                           t' as pris ton autre livre
19914  ton autre                     t§ not                        as pris ton autre livre
19916  c' est                        se                           ca c' est un petit livre
19916  livre oui                     li vRwi                       un petit livre oui ?
19917  c' est                        se                           et ca c' est un grand
19920  grande auto                   gR@ do-to                     oh une grande auto des pompiers
19921  grande auto                   gR@ do-to                     une grande auto des pompiers hein
19923  qu' est-ce                    kEs                          qu' est-ce que c' est ca
19923  c' est                        se                           est-ce que c' est ca
19924  donc une                      d§ kyn                        quoi faire donc une echelle
19927  c' est                        se                           non hein c' est pas
19928  c' est                        se                           c' est pour monter .
19931  c' est                        se                           ben c' est parce que y
19931  qu' y                         ki                           le feu qu' y a
19932  j' entends                    Z@-t@                        j' entends quoi ?
19933  qu' est-ce                    kEs                          qu' est-ce qu' on entend ?
19933  qu' on                        k§n                          qu' est-ce qu' on entend ?
19933  on entend                     k§ n@-t@                      est-ce qu' on entend ?
19936  qu' est-ce                    kEs                          qu' est-ce qu' i' f ?
19936  qu' i'                        ki                           qu' est-ce qu' i' f ?
19938  c' est                        se                           oui mais c' est ca c'
19938  c' est                        se                           est ca c' est une
19938  une image                     y ni-maZ                      c' est une image .
19939  c' est                        se                           c' est pas le vrai feu
19940  c' n'                         sn                           non c' n' est pas beau
19940  n' est                        sne                          non c' n' est pas beau
19941  qu' est-ce                    kEs                          qu' est-ce qu' y a dans
19941  qu' y                         ki                           qu' est-ce qu' y a dans
19942  l' eau                        lo                           de l' eau ?
19950  t' es                         tE                           si t' es gentil ?
19954  des autos                     de zo-to                      non non des autos pas des
19956  c' est                        se                           ca c' est un camion .
19958  d' ssus                       d#                           au d' ssus et en d'
19958  d' ssous                      d#                           et en d' ssous .
19959  d' ssus                       d#                           au d' ssus et en d'
19959  d' ssous                      d#                           et en d' ssous du
19960  n' les                        nle                          tu n' les vois pas ?
19964  c' est                        se                           c' est un camion ca ?
19965  qu' c'                        ks'                          tu vois qu' c' est un
19965  c' est                        kse                          vois qu' c' est un
19970  qu' on                        k§                           pour qu' on voie le camion
19971  c' est                        se                           oh ca c' est un .
19972  d' autos                      do-to                        un transport d' autos que c'
19972  c' est                        se                           autos que c' est hein
19974  qu' il                        kil                          ou est-ce qu' il est l'
19974  il est                        ki le                         est-ce qu' il est l'
19974  l' moteur                     lmo-t9R                      il est l' moteur du
19978  par en                        pa R@                         par en d' ssous .
19978  d' ssous                      d#                           par en d' ssous .
19979  il est                        i le                          si il est dessous du camion
19982  c' est                        se                           et ca c' est quoi ?
19983  l' essence                    le-s@s                       de l' essence ?
19986  pour aller                    pu Ra-le                      du poteau pour aller reparer
19987  n' allait                     na-lE                        non elle n' allait plus alors
19987  alors i'                      a-lO Ri                       allait plus alors i' faut
19989  des outils                    de zu-ti                      des outils cheri .
19993  c' est                        se                           c' est des fils qui vont
19997  les as                        le za                         tu les as vus l' autre
19997  l' autre                      lot                          as vus l' autre jour
19998  t' as                         ta                           t' as bien vu qu' y
19998  qu' y                         ki                           bien vu qu' y avait
20003  n' sait                       nsE                          on n' sait pas sauter hein
20004  n' sais                       nsE                          je n' sais pas changer de
20016  c' est                        se                           oui c' est un camion des
20019  n' va                         nva                          i' n' va pas vite le
20021  comme i'                      kO mi                         regarde comme i' va vite .
20024  n' avance                     na-v@s                       i' n' avance pas quand meme
20026  n' sais                       nsE                          n' sais pas .
20030  c' est                        se                           c' est beau ?
20031  c' est                        se                           c' est un camion de demenag'
20032  garde un                      gaR d1                        r' garde un peu par la
20036  qu' on                        k§                           ou est-ce qu' on va
20036  l' mettre                     lmEt                         on va l' mettre le
20037  met on                        mE t§                         ou le met on ?
20038  l' mettre                     lmEt                         on va l' mettre la .
20041  les ouvriers                  le zu-vRi-je                  les ouvriers vont aller le mettre
20042  regarde un                    R°-gaR d1                     regarde un peu le petit chien
20043  il est                        i le                          il est alle marcher lui sur
20044  il a                          i la                          il a fait des marques .
20045  l' beton                      l#                           marcher quand l' beton est
20046  qu' i'                        ki                           faut attendre qu' i' seche
20047  qu' i'                        ki                           qu' i' d' vienne dur .
20047  d' vienne                     dvjEn                        qu' i' d' vienne dur .
20050  il a                          i la                          mais si il a des yeux
20050  des yeux                      de zj2                        il a des yeux .
20051  t' entends                    t@-t@                        t' entends quoi ?
20053  c' est                        se                           c' est la terre .
20055  elle etait                    E le-tE                       elle etait la .
20058  faire un                      fE R1                         non pour faire un chemin
20063  c' est                        se                           c' est un bulldozer qui pousse
20063  terre oui                     tE Rwi                        pousse la terre oui ?
20069  c' est                        se                           ca c' est le chemin .
20070  c' est                        se                           ca ca c' est les
20070  bulldozer ont                 byl-do-zE R§                  chenilles du bulldozer ont fait
20072  c' est                        se                           ce que c' est les
20074  comme a                       kO ma                         comme a ton .
20075  n' as                         na                           non tu n' as pas d'
20075  d' bulldozer                  dbyl-do-zER                  as pas d' bulldozer toi
20076  t' as                         ta                           t' as une autre .
20076  une autre                     y notR                        t' as une autre .
20080  montre un                     m§ tR1                        montre un peu les chenilles .
20088  dans un                       d@ z1                         la mettre dans un camion
20089  qu' on                        k§                           ou est-ce qu' on met dans
20089  l' camion                     lka-mj§                      met dans l' camion ?
20090  regarde un                    R°-gaR d1                     ah regarde un peu .
20093  l' camion                     lka-mj§                      terre dans l' camion ?
20095  elle a                        E la                          oui elle a deja la terre
20102  c' est                        se                           ca c' est l' monsieur qui
20102  l' monsieur                   lm°-sj2                      c' est l' monsieur qui
20103  c' est                        se                           c' est le grutier .
20104  n' avance                     na-v@s                       ah lui n' avance pas .
20105  on a                          § na                          on a fait un trou la
20111  n' le                         nl2                          oh on n' le voit pas
20111  c' est                        se                           parce que c' est une
20111  une image                     y ni-maZ                      c' est une image .
20115  encore un                     @-kO R1                       encore un monsieur qui va grimper
20116  grimpe au                     gR5 po                        monsieur qui grimpe au poteau
20117  grimpe au                     gR5 po                        i' grimpe au poteau le monsieur
20119  qu' est-ce                    kEs                          et qu' est-ce qu' i' va
20119  qu' i'                        ki                           qu' est-ce qu' i' va
20120  n' va                         nva                          non i' n' va pas reparer
20122  les oiseaux                   le zwa-zo                     oh les oiseaux ?
20124  s' arretent                   s#                           puis i' s' arretent sur
20124  fils et                       fi se                         sur les fils et puis
20124  volent encore                 vO l@-kOR                     puis i' volent encore .
20125  s' arretent                   s#                           i' s' arretent sur un arbre
20125  sur un                        sy R1n                        s' arretent sur un arbre
20125  un arbre                      R1 naRb                       arretent sur un arbre les
20132  qu' i'                        ki                           comment est-ce qu' i' boit du
20134  m et                          E me                          m et le petit chat aussi
20136  mange aussi                   m@ Zo-si                      ah i' mange aussi .
20139  c' est                        se                           c' est pas bon la nourriture
20140  c' n'                         sn                           le divan c' n' est pas
20140  n' est                        sne                          divan c' n' est pas
20148  elle est                      E le                          oh elle est bien fermee .
20151  c' est                        se                           oh oui c' est parce que
20153  c' est                        se                           c' est madame qui telephone ?
20160  madame oui                    ma-da mwi                     peu la madame oui .
20164  n' saurais                    nso-RE                       tu n' saurais pas la mettre
20168  qu' est-ce                    kEs                          qu' est-ce qu' i' vient faire
20168  qu' i'                        ki                           qu' est-ce qu' i' vient faire
20169  qu' est-ce                    kEs                          qu' est-ce qu' i' vient faire
20169  qu' i'                        ki                           qu' est-ce qu' i' vient faire
20170  on enregistre                 § n@R-ZistR                   on enregistre .
20178  n' vas                        nva                          non tu n' vas pas ecouter
20185  l' enregistreur               l@R-Zis-tR9R                 stephane dans l' enregistreur ?
20186  c' est                        se                           c' est toi dans l' enregistreur
20186  l' enregistreur               l@R-Zis-tR9R                 toi dans l' enregistreur .
20187  c' est                        se                           c' est l' autre dans l'
20187  l' autre                      lot                          c' est l' autre dans l'
20187  l' enregistreur               l@R-Zis-tR9R                 autre dans l' enregistreur ?
20189  c' est                        se                           c' est stephane robert dans l'
20189  l' enregistreur               l@R-Zis-tR9R                 robert dans l' enregistreur ?
20191  l' enregistreur               l@R-Zis-tR9R                 ce dans l' enregistreur ?
20192  c' est                        se                           c' est toi ?
20194  c' est                        se                           oui c' est logique .
20196  t' as                         ta                           t' as joue avec tchitchi aujourd'hui
20197  elle est                      E le                          elle est chez elle maint' nant
20199  c' est                        se                           c' est trop tard .
20202  c' est                        se                           c' est le p' tite fille
20206  c' est                        se                           c' est la maman de tchitchi
20207  des histoires                 de zis-twaR                   en racontes des histoires .
20208  c' et                         se                           tchitchi c' et une petite fille
20210  t' es                         tE                           t' es pas une petite fille
20212  un un                         1 n1                          un un grand garcon ?
20214  t' es                         tE                           t' es pas une petite fille
20215  t' es                         tE                           oui mais t' es un garcon
20217  c' est                        se                           et tchitchi c' est un garcon
20218  c' est                        se                           tchitchi c' est pas un garcon
20219  c' est                        se                           c' est une fille .
20222  t' es                         tE                           toi aussi t' es grand comme
20223  t' es                         tE                           t' es plus grand que tchitchi
20224  elle est                      E le                          tchitchi elle est plus petite .
20225  n' a                          na                           elle n' a que deux ans
20225  deux ans                      d2 z@                         a que deux ans tchitchi
20225  trois ans                     tRwa z@                       tu as trois ans .
20226  montre un                     m§ tR1                        montre un peu .
20227  trois ans                     tRwa z@                       tu as trois ans sur
20228  n' a                          na                           non tchitchi n' a pas trois
20228  trois ans                     tRwa z@                       a pas trois ans .
20229  elle a                        E la                          elle a deux ans tchitchi .
20229  deux ans                      d2 z@                         elle a deux ans tchitchi .
20230  trois ans                     tRwa z@                       tu as trois ans oui
20232  il est                        i le                          herve il est plus grand .
20233  il a                          i la                          il a quatre ans herve .
20233  quatre ans                    ka tR@                        il a quatre ans herve .
20235  t' es                         tE                           toi t' es grand comme papa
20236  l' heure                      l9R                          l' heure .
20237  n' peut                       np2                          on n' peut rien faire .
20240  tout en                       tu t@                         lune la tout en bas
20242  n' a                          na                           ah maman n' a pas envie
20242  qu' elle                      kEl                          pas envie qu' elle aille
20242  elle aille                    kE laj                        envie qu' elle aille en
20244  s' en                         s@                           elle s' en va .
20251  garde ou                      gaR du                        r' garde ou elle est la
20251  elle est                      E le                          garde ou elle est la
20257  n' sais                       nsE                          oh je n' sais pas faire
20257  des autos                     de zo-to                      pas faire des autos moi
20258  n' sais                       nsE                          n' sais pas faire des autos
20258  des autos                     de zo-to                      pas faire des autos .
20259  t' dit                        tdi                          on t' dit qu' maman n'
20259  qu' maman                     kma-m@                       t' dit qu' maman n'
20259  n' sait                       nsE                          qu' maman n' sait pas
20260  des autos                     de zo-to                      des autos ca ?
20261  c' est                        se                           c' est un avion ca ?
20261  un avion                      1 na-vj§                      c' est un avion ca ?
20263  des escaliers                 de zEs-ka-lje                 des escaliers ?
20265  c' sont                       ss§                          c' sont les boutons ca .
20269  une histoire                  y nis-twaR                    pouvoir raconter une histoire .
20270  les animaux                   le za-ni-mo                   non les animaux .
20271  les animaux                   le za-ni-mo                   pas les animaux .
20272  les autres                    le zotR                       non les autres .
20277  c' ui~la                      s#                           oui c' ui~la .
20281  l' autre                      lotR                         et encore l' autre .
20285  d' maman                      dma-m@                       viens pres d' maman .
20286  n' voit                       nvwa                         maman n' voit rien .
20288  c' est                        se                           c' est la ?
20289  t' aurais                     to-RE                        t' aurais sais pas r' garder
20289  l' endroit                    l@-dRwa                      garder a l' endroit ?
20291  qu' elle                      kEl                          oh qu' elle est belle .
20291  elle est                      kE le                         oh qu' elle est belle .
20292  qu' i'                        ki                           qu' i' sont beaux .
20293  qu' est-ce                    kEs                          qu' est-ce que c' est ?
20293  c' est                        se                           est-ce que c' est ?
20295  vache et                      va Se                         une vache et qui ?
20299  qu' i'                        ki                           ou est-ce qu' i' sont
20300  qu' i'                        ki                           ou est-ce qu' i' sont ?
20301  les autres                    le zotR                       aller voir les autres oui
20301  autres oui                    zo tRwi                       voir les autres oui .
20306  qu' est-ce                    kEs                          qu' est-ce que c' est coula
20306  c' est                        se                           est-ce que c' est coula
20309  n' mordent                    nmORd                        i' n' mordent pas hein .
20311  c' est                        se                           c' est des tout petits chiens
20312  c' est                        se                           c' est un cochon cheri .
20313  c' est                        se                           oui c' est tres bien .
20314  c' est                        se                           ca c' est son nez .
20315  il a                          i la                          il a un gros nez le
20317  qu' est-ce                    kEs                          et ca qu' est-ce que c'
20317  c' est                        se                           est-ce que c' est ?
20319  c' est                        se                           c' est pas des moutons .
20320  c' est                        se                           c' est des cochons .
20321  qu' est-ce                    kEs                          qu' est-ce qu' i' font la
20321  qu' i'                        ki                           qu' est-ce qu' i' font la
20323  qu' est-ce                    kEs                          alors qu' est-ce qu' i' font
20323  qu' i'                        ki                           qu' est-ce qu' i' font
20329  c' est                        se                           c' est pas une vache hein
20330  c' est                        se                           c' est un quoi ?
20331  val un                        va l1                         val un eval .
20332  c' est                        se                           c' est l' bebe cheval ca
20332  l' bebe                       lbe-be                       c' est l' bebe cheval ca
20333  canard aussi                  ka-na Ro-si                   p' tit canard aussi ?
20334  qu' il                        kil                          tit bamby qu' il est
20334  il est                        ki le                         bamby qu' il est beau
20335  c' est                        se                           c' est un chameau .
20336  t' en                         t@                           tu t' en rappelles bien qu'
20336  qu' tu                        kty                          rappelles bien qu' tu as
20337  t' as                         ta                           et t' as vu un lama
20338  t' as                         ta                           t' as vu le chameau avec
20339  t' as                         ta                           t' as pris la photo du
20340  l' elephant                   l#                           et l' elephant ?
20341  l' autre                      lot                          r' garde l' autre petit elephant
20342  c' est                        se                           oui c' est la maman elephant
20344  qu' est                       ke                           qu' est qu' i' fait ?
20344  qu' i'                        ki                           qu' est qu' i' fait ?
20347  t' as                         ta                           t' as meme caresse les petites
20348  qu' elles                     kEl                          comment est-ce qu' elles font les
20353  c' est                        se                           ca c' est un p' tit
20353  canard et                     ka-na Re                      p' tit canard et son
20356  c' est                        se                           oh ca c' est un gros
20358  c' ui~la                      s#                           dans c' ui~la ?
20359  c' livre                      sliv                         elephant dans c' livre ci
20361  garde un                      gaR d1                        r' garde un peu qu' elles
20361  qu' elles                     kEl                          un peu qu' elles sont
20364  des animaux                   de za-ni-mo                   ce sont des animaux .
20365  elle habite                   E la-bit                      elle habite dans les bois aussi
20366  t' as                         ta                           t' as vu un * toi
20367  t' as                         ta                           t' as bien d' la chance
20367  d' la                         dla                          as bien d' la chance
20369  c' est                        se                           c' est mechant le tigre .
20370  c' est                        se                           c' est gros .
20372  c' est                        se                           oui ca c' est une
20372  une image                     y ni-maZ                      c' est une image .
20373  n' est                        ne                           ce n' est pas gentil .
20376  elle a                        E la                          elle a mordu ton doigt ?
20380  c' sont                       ss§                          oh c' sont des ours cheri
20380  des ours                      de zuRs                       c' sont des ours cheri
20382  n' mordent                    nmORd                        i' n' mordent pas tout ton
20386  on a                          § na                          on a vu des pinguoins a
20387  les oiseaux                   le zwa-zo                     les oiseaux qui sont noirs et
20387  noirs et                      nwa Re                        qui sont noirs et blancs
20388  l' elephant                   l#                           oh l' elephant a des grandes
20388  grandes oreilles              gR@d zo-REj                   a des grandes oreilles hein
20391  n' mange                      nm@Z                         i' n' mange pas ton oreille
20391  ton oreille                   t§ no-REj                     mange pas ton oreille non
20393  c' est                        se                           c' est pas propre la langue
20394  l' elephant                   l#                           tu caresses l' elephant ?
20395  n' fait                       nfE                          i' n' fait pas miaw ?
20396  n' fait                       nfE                          non i' n' fait pas
20398  l' as                         la                           hier tu l' as vu a
20404  l' image                      li-maZ                       celui sur l' image en
20404  image en                      li-ma Z@                      sur l' image en tout
20405  n' dit                        ndi                          i' n' dit rien celui sur
20405  l' image                      li-maZ                       celui sur l' image ?
20406  n' sait                       nsE                          i' n' sait pas parler quand
20406  c' est                        se                           parler quand c' est un
20408  l' ecole                      le-kOl                       aller a l' ecole ?
20409  n' en                         n@                           on n' en n' a pas
20409  n' a                          na                           n' en n' a pas
20410  l' ecole                      le-kOl                       aller a l' ecole demain
20412  qu' est-ce                    kEs                          qu' est-ce que tu vas faire
20412  faire a                       fE Ra                         tu vas faire a l'
20412  l' ecole                      le-kOl                       faire a l' ecole demain
20414  l' ecole                      le-kOl                       gateau a l' ecole ?
20416  c' est                        se                           c' est bon ?
20417  n' en                         n@                           n' en sais rien stephane .
20423  qu' est-ce                    kEs                          qu' est-ce qu' elle fait la
20423  qu' elle                      kEl                          qu' est-ce qu' elle fait la
20426  n' la                         nla                          on n' la voit pas .
20427  elle est                      E le                          elle est cachee par le petit
20428  elle est                      E le                          elle est la .
20429  n' la                         nla                          on n' la voit pas .
20430  l' autre                      lot                          l' autre queue ?
20432  n' voit                       nvwa                         on n' voit pas non plus
20433  c' est                        se                           c' est derriere le p' tit
20434  c' est                        se                           c' est derriere le petit veau
20435  par en                        pa R@                         oui par en d' ssous la
20435  d' ssous                      d#                           par en d' ssous la
20436  n' voit                       nvwa                         non on n' voit pas
20437  d' abord                      da-bOR                       on doit d' abord tourner l'
20437  l' livre                      llivR                        abord tourner l' livre .
20438  n' sait                       nsE                          on n' sait pas voir par
20438  par en                        pa R@                         pas voir par en d'
20438  d' ssous                      d#                           par en d' ssous .
20439  d' histoire                   dis-twaR                     drole d' histoire hein ca ?
20441  c' est                        se                           c' est des tout petits tout
20442  regarde un                    R°-gaR d1                     regarde un peu .
20443  on avait                      § na-vE                       on avait un petit chat .
20444  qu' on                        k§n                          comment donc qu' on avait
20444  on avait                      k§ na-vE                      donc qu' on avait ?
20445  on a                          § na                          on a eu un petit chat
20448  il est                        i le                          oh il est venu faire miaw
20449  il est                        i le                          ah il est dans une maison
20449  dans une                      d@ zyn                        il est dans une maison
20450  d' une                        dyn                          d' une aut' madame .
20451  c' est                        se                           ah c' est ca .
20457  livre avec                    li vRa-vEk                    garder un livre avec des
20457  des images                    de zi-maZ                     livre avec des images ?
20458  c' est                        se                           c' est pas un livre avec
20458  livre avec                    li vRa-vEk                    pas un livre avec des
20458  des images                    de zi-maZ                     livre avec des images .
20459  c' est                        se                           c' est un livre avec des
20459  livre avec                    li vRa-vEk                    est un livre avec des
20459  des histoires                 de zis-twaR                   livre avec des histoires c'
20459  c' ui~la                      s#                           des histoires c' ui~la .
20460  c' est                        se                           c' est un livre avec des
20460  livre avec                    li vRa-vEk                    est un livre avec des
20460  des histoires                 de zis-twaR                   livre avec des histoires c'
20460  c' ui~la                      s#                           des histoires c' ui~la .
20461  racontes a                    Ra-k§ ta                      tu racontes a maman .
20468  qu' i'                        ki                           pourquoi est-ce qu' i' casse les
20471  qu' il                        kil                          pourquoi est-ce qu' il a casse
20471  il a                          ki la                         est-ce qu' il a casse
20472  n' pouvait                    npu-vE                       ah i' n' pouvait pas entrer
20473  alors i'                      a-lO Ri                       ah alors i' casse la maison
20486  il est                        i le                          oh si il est dans la
20488  il est                        i le                          il est entre par la porte
20488  porte oui                     pOR twi                       par la porte oui .
20492  il est                        i le                          oui hein il est entre par
20493  il a                          i la                          il a faim le grand mechant
20495  c' est                        se                           c' est pour ca qu' il
20495  qu' il                        kil                          pour ca qu' il souffle
20496  qu' i'                        ki                           et qu' i' casse les maisons
20497  c' est                        se                           c' est pour manger le p'
20503  pour aller                    pu Ra-le                      pour aller dans l' aut' maison
20503  l' aut'                       l#                           aller dans l' aut' maison
20504  il est                        i le                          voila il est dans l' aut'
20504  l' aut'                       l#                           est dans l' aut' maison
20511  il est                        i le                          le loup il est de
20511  l' au'                        l#                           est de l' au' il
20511  il est                        i le                          l' au' il est hors
20512  il est                        i le                          il est tout pres de la
20514  il a                          i la                          non mais il a faim
20515  t' as                         ta                           t' as tout mange quoi ?
20517  t' as                         ta                           t' as mange le loup toi
20519  c' est                        se                           c' est mechant sais tu un
20521  n' peut                       np2                          ca i' n' peut pas
20523  n' peux                       np2                          toi tu n' peux pas
20528  il a                          i la                          il a fait des griffes ?
20529  c' est                        se                           c' est une planche cheri .
20530  c' est                        se                           ca c' est les briques de
20533  comme il                      kO mil                        le loup comme il est
20533  il est                        mi le                         loup comme il est fatigue
20534  n' a                          na                           i' n' a pas pu casse
20535  s' en                         s@                           i' s' en va dans la
20536  des arbres                    de zaRbR                      plus beaucoup des arbres .
20540  n' court                      nkuR                         i' n' court pas la .
20541  n' court                      nkuR                         i' n' court pas la .
20542  il est                        i le                          il est dedans .
20543  n' court                      nkuR                         i' n' court pas la .
20546  il est                        i le                          il est entre dans la maison
20550  c' est                        se                           son sach c' est la
20551  c' est                        se                           c' est c' est la maison
20551  c' est                        se                           c' est c' est la maison
20553  n' a                          na                           elle n' a rien * .
20563  c' sont                       ss§                          ah c' sont des p' tites
20566  qu' est-ce                    kEs                          qu' est-ce qui coupe ?
20569  qu' est-ce                    kEs                          et ca qu' est-ce que c'
20569  c' est                        se                           est-ce que c' est ?
20571  n' sont                       ns§                          non ce n' sont pas des
