1      n' monte                      nm§t                         non on n' monte pas
577    d' sous                       dsu                          est en d' sous d'
577    d' ou                         du                           d' sous d' ou ?
578    d' sous                       dsu                          en d' sous d' quoi ?
578    d' quoi                       dkwa                         d' sous d' quoi ?
582    d' sous                       dsu                          en d' sous d' quoi ?
582    d' quoi                       dkwa                         d' sous d' quoi ?
586    c' est                        se                           non c' est pas une brosse
587    qu' est-ce                    kEs                          qu' est-ce qu' on va bien
587    qu' on                        k§                           qu' est-ce qu' on va bien
591    c' est                        se                           ca c' est trop petit hein
592    n' saura                      nso-Ra                       oh maman n' saura pas tout
593    encore une                    @-kO Ryn                      oh encore une balle .
594    en a                          @ na                          y en a bien beaucoup .
596    pile oui                      pi lwi                        chercher la pile oui je veux
603    l' as                         la                           tu l' as jete a terre
604    il est                        i le                          non il est casse i' n'
604    casse i'                      ka si                         il est casse i' n'
604    n' sonne                      nsOn                         casse i' n' sonne plus
604    l' telephone                  lte-le-fOn                   sonne plus l' telephone .
609    madame oui                    ma-da mwi                     madame oui .
611    dame aussi                    da mo-si                      a la dame aussi ?
616    c' est                        se                           ah c' est assez ?
624    par ici                       pa Ri-si                      viens par ici .
625    choses a                      So za                         beaucoup des choses a maman
626    il est                        i le                          il est casse oui .
626    casse oui                     ka swi                        il est casse oui .
627    est il                        e til                         pourquoi est il casse ?
628    qu' il                        kil                          parce qu' il a fait boum
628    il a                          ki la                         parce qu' il a fait boum
628    boum a                        bu ma                         a fait boum a terre
628    telephone alors               te-le-fO na-lOR               terre le telephone alors il
628    alors il                      na-lO Ril                     le telephone alors il est
628    il est                        Ri le                         telephone alors il est casse
630    encore etre                   @-kO REt                      i' va encore etre casse
638    c' est                        se                           ah ben c' est pas beau
640    est elle                      e tEl                         ou est elle ?
641    balle alors                   ba la-lOR                     chercher la balle alors .
647    qu' i'                        ki                           ou est-ce qu' i' sont
648    n' sont                       ns§                          i' n' sont pas la .
650    qu' est-ce                    kEs                          qu' est-ce que tu cherches ?
653    t' as                         ta                           t' as trouve l' marteau ?
653    l' marteau                    lmaR-to                      as trouve l' marteau ?
654    l' autre                      lot                          non dans l' autre boite
654    boite i'                      bwa ti                        l' autre boite i' n'
654    n' est                        ne                           boite i' n' est pas
654    l' marteau                    lmaR-to                      pas ici l' marteau je
654    n' crois                      nkRwa                        marteau je n' crois pas
655    t' as                         ta                           t' as trouve ?
656    qu' est-ce                    kEs                          ouilleouilleouille qu' est-ce que j' entends
656    j' entends                    Z@-t@                        est-ce que j' entends ?
657    qu' est-ce                    kEs                          qu' est-ce que tu veux ?
662    qu' est-ce                    kEs                          qu' est-ce que tu veux ?
664    cherche un                    SER S1                        allez cherche un marteau maint' nant
678    n' est                        ne                           le marteau n' est pas la
678    l' autre                      lot                          voir dans l' autre boite
679    l' autre                      lot                          * dans l' autre boite
680    qu' est-ce                    kEs                          qu' est-ce que tu veux ?
684    qu' est-ce                    kEs                          qu' est-ce qu' i' y a
684    qu' i'                        ki                           qu' est-ce qu' i' y a
686    grand assez                   gR@ ta-se                     tu es grand assez .
691    n' est                        ne                           non i' n' est pas bien
692    c' est                        se                           c' est pas la bonne cle
692    c' est                        se                           bonne cle c' est pas
693    n' a                          na                           i' n' a pas de cle
694    c' est                        se                           plus ca c' est une
694    qu' i'                        ki                           cle jaune qu' i' faut
699    c' est                        se                           ca c' est pas * *
703    montre un                     m§ tR1                        montre un peu une cle .
704    montre un                     m§ tR1                        montre un peu une cle rouge
709    blanche ainsi                 bl@ S5-si                     une cle blanche ainsi ?
710    blanche ainsi                 bl@ S5-si                     une blanche ainsi .
711    c' est                        se                           ah c' est tres bien .
716    c' est                        se                           voila ca c' est bien .
718    qu' est-ce                    kEs                          qu' est-ce qu' i' y a
718    qu' i'                        ki                           qu' est-ce qu' i' y a
719    qu' est-ce                    kEs                          qu' est-ce qu' i' y a
719    qu' i'                        ki                           qu' est-ce qu' i' y a
720    qu' est-ce                    kEs                          hein qu' est-ce qu' i' y
720    qu' i'                        ki                           qu' est-ce qu' i' y
721    des autres                    de zot                        tu mettais des autres cles
722    les as                        le za                         ben tu les as .
