3209 bien écoute                   bj5n e-kut
3231 des engins                    dez @-Z5
3234 des hélicoptères              dez e-li-kOp-tER
3236 un hélicoptère                1n e-li-kOp-tER
3244 les erreurs                   lez E-R9R
3246 ont une                       §t yn
3250 en insistant                  @n 5-sis-t@
3254 les enfants                   lez @-f@
3255 on avait                      §n a-vE
3261 nous a                        nuz a
3261 nous avait                    nuz a-vE
3263 longs à                       l§z a
3263 quand il                      k@t il
3274 en ai                         @n E
3276 comment elle                  ko-m@t El
3305 un ail                        1n aj
3308 dans un                       d@z 1
3318 dans une                      d@z yn
3335 comment elle                  ko-m@t El
3349 tout à                        tut a
3351 peut être                     p2t EtR
3356 peut être                     p2t EtR
3362 en a                          @n a
3369 petit homme                   p°-tit Om
3374 peut être                     p2t EtR
3376 plus après                    plyz a-pRE
3434 en as                         @n a
3438 est assis                     et a-si
3453 est à                         et a
3454 est à                         et a
3455 est à                         et a
3466 on y                          §n i
3476 les autres                    lez otR
3495 en avant                      @n a-v@
3509 les a                         lez a
3518 est à                         et a
3531 on arrive                     §n a-Riv
3531 est idiot                     et i-djo
3532 est un                        et 1
3532 vous arrivez                  vuz a-Ri-ve
3557 peut être                     p2t EtR
3567 on y                          §n i
3569 tout à                        tut a
3574 vous avez                     vuz a-ve
3578 quand il                      k@t il
3588 vas y                         vaz i
3593 quand il                      k@t il
3594 quand il                      k@t il
3599 en a                          @n a
3605 un à                          1n a
3608 est un                        et 1
3608 ils aiment                    ilz Em
3613 est un                        et 1
3625 sont elles                    s§t El
3628 sont elles                    s§t El
3651 est à                         et a
3673 très indiscipliné             tREz 5-di-si-pli-ne
3673 très indiscipliné             tREz 5-di-si-pli-ne
3676 grand expert                  gR@t Ek-spER
3680 est un                        et 1
3692 nous à                        nuz a
3703 les amis                      lez a-mi
3723 un autre                      1n otR
3724 un autre                      1n otR
3724 plus à                        plyz a
3726 on avait                      §n a-vE
3729 très important                tREz 5-pOR-t@
3729 un homme                      1n Om
3734 un homme                      1n Om
3740 tout à                        tut a
3740 on ira                        §n i-Ra
3740 dans un                       d@z 1
3743 un énoncé                     1n e-n§-se
3746 un enfant                     1n @-f@
3751 en a                          @n a
3759 les enfants                   lez @-f@
3770 ces enfants                   sez @-f@
3779 dans un                       d@z 1
3779 un endroit                    1n @-dRwa
3799 quand il                      k@t il
3803 peut être                     p2t EtR
3804 plus en                       plyz @
3804 comment il                    ko-m@t il
3805 est un                        et 1
3807 on en                         §n @
3807 en a                          @n a
3809 est à                         et a
3818 est à                         et a
3818 est à                         et a
3818 est à                         et a
3820 des objets                    dez Ob-ZE
3824 on en                         §n @
3826 nous aussi                    nuz o-si
3830 redondant à                   R°-d§-d@t a
3836 plus élaborés                 plyz e-la-bo-Re
3840 est à                         et a
3841 est à                         et a
3846 petit avion                   p°-tit a-vj§
3847 petit avion                   p°-tit a-vj§
3848 petit avion                   p°-tit a-vj§
3849 est en                        et @
3849 bas à                         baz a
3866 un exemple                    1n Eg-z@pl
3869 un avion                      1n a-vj§
3911 est il                        et il
3919 est imperturbable             et 5-pER-tyR-babl
3927 tout à                        tut a
3932 est untel                     et 1-tEl
3936 est à                         et a
3948 est un                        et 1
3959 vas y                         vaz i
3964 on avait                      §n a-vE
3990 quand il                      k@t il
3990 quand il                      k@t il
3992 vas y                         vaz i
3993 très intéressant              tREz 5-te-RE-s@
3994 est exactement                et Eg-zak-t°-m@
3994 on appelle                    §n a-pEl
3996 est une                       et yn
3999 en es                         @n E
4004 tes interventions             tez 5-tER-v@-sj§
4011 les adverbes                  lez ad-vERb
4012 tout à                        tut a
4012 tout a                        tut a
4016 peut être                     p2t EtR
4021 quand il                      k@t il
4021 tout à                        tut a
4021 est un                        et 1
4021 tout à                        tut a
4021 on a                          §n a
4021 tout à                        tut a
4023 tout à                        tut a
4032 on en                         §n @
4032 en aura                       @n o-Ra
4048 quand il                      k@t il
4048 les insulte                   lez 5-sylt
4049 quand il                      k@t il
4049 est à                         et a
4051 ton avis                      t§n a-vi
4051 quand il                      k@t il
4054 en a                          @n a
4056 très amusant                  tREz a-my-z@
4066 un orage                      1n o-RaZ
4066 tout à                        tut a
4070 un orage                      1n o-RaZ
4070 tout à                        tut a
4070 on a                          §n a
4072 peut être                     p2t EtR
4072 un orage                      1n o-RaZ
4072 quand il                      k@t il
4074 on a                          §n a
4077 quand est                     k@t e
4079 quand est                     k@t e
4092 les aimes                     lez Em
4097 comment ils                   ko-m@t il
4112 est extraordinaire            et Ek-stRa-OR-di-nER
4132 quand est                     k@t e
4133 sont ils                      s§t il
4144 en avais                      @n a-vE
4144 les oreilles                  lez o-REj
4151 en ai                         @n E
4151 en ai                         @n E
4157 on a                          §n a
4159 on a                          §n a
4160 bien alors                    bj5n a-lOR
4161 les a                         lez a
4168 vas y                         vaz i
4169 vas y                         vaz i
4171 vous allez                    vuz a-le
4171 tous ensemble                 tusz @-s@bl
4172 tout à                        tut a
4172 tout à                        tut a
4173 peut être                     p2t EtR
4173 tout à                        tut a
4175 quand ils                     k@t il
4181 mon image                     m§n i-maZ
4189 en ai                         @n E
4193 un humour                     1n y-muR
4193 nous envoyer                  nuz @-vwa-je
4207 est il                        et il
4212 est il                        et il
4224 bien écoute                   bj5n e-kut
4226 les incisives                 lez 5-si-ziv
4241 nous a                        nuz a
4246 est un                        et 1
4255 en a                          @n a
4256 tout à                        tut a
4278 un air                        1n ER
4282 bon écoutez                   b§n e-ku-te
4282 les enfants                   lez @-f@
4299 en aurez                      @n o-Re
4307 est adrien                    et a-dRi-j5
4315 quand il                      k@t il
4324 on est                        §n e
4326 on est                        §n e
4326 content avec                  k§-t@t a-vEk
4329 comment il                    ko-m@t il
4331 quand il                      k@t il
4331 comment est                   ko-m@t e
4345 est à                         et a
4356 on attend                     §n a-t@
4381 tout à                        tut a
4391 bon écoute                    b§n e-kut
4408 en est                        @n e
4408 est en                        et @
4408 plein à                       pl5n a
4410 nous avait                    nuz a-vE
4429 comment il                    ko-m@t il
4443 les échecs                    lez e-SEk
4443 content adrien                k§-t@t a-dRi-j5
4444 les as                        lez a
4450 fait il                       fEt il
4450 trop ému                      tRop e-my
4451 est un                        et 1
4459 tout à                        tut a
4459 en ai                         @n E
4461 des histoires                 dez is-twaR
4461 quand il                      k@t il
4461 est allé                      et a-le
4464 quand il                      k@t il
4470 des essais                    dez e-sE
4481 un enfant                     1n @-f@
4482 on attend                     §n a-t@
4483 nous il                       nuz il
4490 est à                         et a
4491 est à                         et a
4497 ils étaient                   ilz e-tE
4498 ils étaient                   ilz e-tE
4499 ils étaient                   ilz e-tE
4500 ils étaient                   ilz e-tE
4505 est une                       et yn
4505 on avait                      §n a-vE
4509 ses oreilles                  sez o-REj
4509 ses oreilles                  sez o-REj
4527 on a                          §n a
4539 est un                        et 1
4541 est un                        et 1
4545 est en                        et @
4545 en avance                     @n a-v@s
4554 on y                          §n i
4602 on habitait                   §n a-bi-tE
4626 quand il                      k@t il
4626 un autre                      1n otR
4628 en est                        @n e
4628 est exactement                et Eg-zak-t°-m@
4665 est avec                      et a-vEk
4668 quand il                      k@t il
4675 bien habillé                  bj5n a-bi-je
4676 vous étiez                    vuz e-tje
4691 peut être                     p2t EtR
4691 en arrière                    @n a-RjER
4694 vous êtes                     vuz Et
4694 bien amusés                   bj5n a-my-ze
4711 les aiguilles                 lez e-g8ij
4716 quand ils                     k@t il
4721 est amusant                   et a-my-z@
4752 plus à                        plyz a
