4103 les a                         lez a
4110 vas y                         vaz i
4111 vas y                         vaz i
4113 vous allez                    vuz a-le
4113 tous ensemble                 tusz @-s@bl
4114 tout à                        tut a
4114 tout à                        tut a
4115 peut être                     p2t EtR
4115 tout à                        tut a
4123 mon image                     m§n i-maZ
4131 en ai                         @n E
4134 deux ans                      d2z @
4135 un humour                     1n y-muR
4135 nous envoyer                  nuz @-vwa-je
4149 est il                        et il
4154 est il                        et il
4166 bien écoute                   bj5n e-kut
4168 les incisives                 lez 5-si-ziv
4183 nous a                        nuz a
4188 est un                        et 1
4197 en a                          @n a
4198 tout à                        tut a
4220 un air                        1n ER
4224 bon écoutez                   b§n e-ku-te
4224 les enfants                   lez @-f@
4241 en aurez                      @n o-Re
4244 deux ans                      d2z @
4245 deux ans                      d2z @
4246 deux ans                      d2z @
4249 est adrien                    et a-dRi-j5
4254 deux ans                      d2z @
4266 on est                        §n e
4268 on est                        §n e
4268 content avec                  k§-t@t a-vEk
4287 est à                         et a
4298 on attend                     §n a-t@
4323 tout à                        tut a
4333 bon écoute                    b§n e-kut
4350 en est                        @n e
4350 est en                        et @
4350 plein à                       pl5n a
4352 nous avait                    nuz a-vE
4385 les échecs                    lez e-SEk
4385 content adrien                k§-t@t a-dRi-j5
4386 les as                        lez a
4392 trop ému                      tRop e-my
4393 est un                        et 1
4401 tout à                        tut a
4401 en ai                         @n E
4403 des histoires                 dez is-twaR
4403 est allé                      et a-le
4412 des essais                    dez e-sE
4423 un enfant                     1n @-f@
4424 on attend                     §n a-t@
4425 nous il                       nuz il
4432 est à                         et a
4433 est à                         et a
4439 ils étaient                   ilz e-tE
4440 ils étaient                   ilz e-tE
4441 ils étaient                   ilz e-tE
4442 ils étaient                   ilz e-tE
4447 est une                       et yn
4447 on avait                      §n a-vE
4451 ses oreilles                  sez o-REj
4451 ses oreilles                  sez o-REj
4469 on a                          §n a
4481 est un                        et 1
4483 est un                        et 1
4487 est en                        et @
4487 en avance                     @n a-v@s
4496 on y                          §n i
4521 deux ans                      d2z @
4544 on habitait                   §n a-bi-tE
4568 un autre                      1n otR
4570 en est                        @n e
4570 est exactement                et Eg-zak-t°-m@
4607 est avec                      et a-vEk
4617 bien habillé                  bj5n a-bi-je
4618 vous étiez                    vuz e-tje
4633 peut être                     p2t EtR
4633 en arrière                    @n a-RjER
4636 vous êtes                     vuz Et
4636 bien amusés                   bj5n a-my-ze
4653 les aiguilles                 lez e-g8ij
4663 est amusant                   et a-my-z@
4694 plus à                        plyz a
4694 plus il                       plyz il
4696 on attendra                   §n a-t@-dRa
4703 chez elle                     Sez El
4706 les enfants                   lez @-f@
4708 les enfants                   lez @-f@
4714 peut être                     p2t EtR
4722 nous avait                    nuz a-vE
4748 vous étiez                    vuz e-tje
4754 est un                        et 1
4759 est en                        et @
4777 on a                          §n a
4786 des arbres                    dez aRbR
4790 les ai                        lez E
4797 est assez                     et a-se
4818 est à                         et a
4820 est à                         et a
4820 est à                         et a
4855 les autres                    lez otR
4856 les autres                    lez otR
4858 les autres                    lez otR
4864 les autres                    lez otR
4874 dans un                       d@z 1
4874 un album                      1n al-bOm
4903 les ordinateurs               lez OR-di-na-t9R
4939 en as                         @n a
4951 plus il                       plyz il
4951 plus il                       plyz il
4959 les habits                    lez a-bi
4964 mon habit                     m§n a-bi
4965 on arrive                     §n a-Riv
4965 en avant                      @n a-v@
4967 est une                       et yn
4969 est un                        et 1
4970 les appelle                   lez a-pEl
4978 on y                          §n i
4979 on arrive                     §n a-Riv
4997 est intéressant               et 5-te-RE-s@
5001 les a                         lez a
5004 en a                          @n a
5009 est absolument                et ap-so-ly-m@
5011 est une                       et yn
5012 en a                          @n a
5012 les a                         lez a
5033 les autres                    lez otR
5039 est il                        et il
5058 nous en                       nuz @
5073 un interrogatoire             1n 5-tE-Ro-ga-twaR
5074 bon escient                   b§n e-sj@
5092 est à                         et a
5102 on en                         §n @
5103 on en                         §n @
5104 en ai                         @n E
5122 est un                        et 1
5150 tes épaules                   tez e-pol
5181 on attend                     §n a-t@
5186 est adrien                    et a-dRi-j5
5187 nous a                        nuz a
5190 est adrien                    et a-dRi-j5
5192 trop en                       tRop @
5192 en arrière                    @n a-RjER
5196 est à                         et a
5201 les hommes                    lez Om
5201 les hommes                    lez Om
5209 un autre                      1n otR
5214 est à                         et a
5214 beaucoup il                   bo-kup il
5216 est à                         et a
5217 très intéressant              tREz 5-te-RE-s@
5250 vas y                         vaz i
5251 vas y                         vaz i
5255 froid à                       fRwat a
5268 tout à                        tut a
5269 tout à                        tut a
5275 beaucoup au                   bo-kup o
