8    on essaye                     §n e-sEj                      on essaye d' en sortir un
3473 on arrive                     §n a-Riv                      que là on arrive encore
3473 est idiot                     et i-djo                      mais c' est idiot .
3474 est un                        et 1                          c' est un très joli jouet
3474 vous arrivez                  vuz a-Ri-ve                   jouet et vous arrivez encore
3499 peut être                     p2t EtR                       sais pas peut être une
3509 on y                          §n i                          veux qu' on y aille
3511 tout à                        tut a                         a dit tout à l'
3516 vous avez                     vuz a-ve                      pourquoi vous avez encore mis le
3520 quand il                      k@t il                        quand il veut quelque chose il
3530 vas y                         vaz i                         allez vas y .
3535 quand il                      k@t il                        compte bien quand il veut
3536 quand il                      k@t il                        les couleurs quand il veut
3541 en a                          @n a                          et y en a encore de
3550 est un                        et 1                          ça c' est un truc qu'
3550 ils aiment                    ilz Em                        truc qu' ils aiment beaucoup
3555 est un                        et 1                          c' est un truc autrichien .
3567 sont elles                    s§t El                        où sont elles tes voitures grégoire
3570 sont elles                    s§t El                        mais où sont elles rangées ?
3593 est à                         et a                          c' est à toi ce ballon
3615 très indiscipliné             tREz 5-di-si-pli-ne           il est très indiscipliné très indiscipliné
3615 très indiscipliné             tREz 5-di-si-pli-ne           très indiscipliné très indiscipliné .
3618 grand expert                  gR@t Ek-spER                  papa le grand expert en
3622 est un                        et 1                          ça c' est un drôle
3645 les amis                      lez a-mi                      sont bien les amis hein
3664 trois enfants                 tRwaz @-f@                    de mes trois enfants .
3665 un autre                      1n otR                        voilà un autre enfant là .
3666 un autre                      1n otR                        un autre enfant qui se demande
3666 plus à                        plyz a                        intéresse pas plus à lui
3668 on avait                      §n a-vE                       si on avait commencé plus tôt
3671 très important                tREz 5-pOR-t@                 chose de très important dans
3671 un homme                      1n Om                         vie d' un homme .
3676 un homme                      1n Om                         alors pour un homme de cinq
3682 tout à                        tut a                         tout à l' heure on ira
3682 on ira                        §n i-Ra                       l' heure on ira dans
3682 dans un                       d@z 1                         on ira dans un square
3685 un énoncé                     1n e-n§-se                    j' obtiens un énoncé qui
3688 un enfant                     1n @-f@                       je suis un enfant très moteur
3693 en a                          @n a                          y en a combien là des
3701 les enfants                   lez @-f@                      allons les enfants !
3712 ces enfants                   sez @-f@                      échappé à ces enfants .
3721 dans un                       d@z 1                         me mette dans un endroit
3721 un endroit                    1n @-dRwa                     mette dans un endroit où
3741 quand il                      k@t il                        c' est quand il montre quelque
3745 peut être                     p2t EtR                       la ferait peut être mieux
3746 plus en                       plyz @                        dire de plus en plus
3747 est un                        et 1                          noté c' est un souvenir
3749 on en                         §n @                          composés maintenant on en a
3749 en a                          @n a                          maintenant on en a toujours
3751 est à                         et a                          correcte c' est à dire
3760 quand on                      k@t §                         même que quand on lui
3760 est à                         et a                          dit c' est à toi
3760 est à                         et a                          que c' est à moi
3760 est à                         et a                          non c' est à moi
3762 des objets                    dez Ob-ZE                     c' est des objets .
3766 on en                         §n @                          autant qu' on en veut
3768 nous aussi                    nuz o-si                      et à nous aussi .
3770 moins en                      mw5z @                        de moins en moins c' est
3770 moins en                      mw5z @                        est de moins en moins
3771 moins en                      mw5z @                        de moins en moins souvent .
3778 plus élaborés                 plyz e-la-bo-Re               un peu plus élaborés quand
3782 est à                         et a                          elle est à moi cette voiture
3783 est à                         et a                          elle est à qui ?
3788 petit avion                   p°-tit a-vj§                  est ton petit avion ?
3789 petit avion                   p°-tit a-vj§                  bien ton petit avion .
3790 petit avion                   p°-tit a-vj§                  cherche ton petit avion .
3791 est en                        et @                          il est en bas à côté
3808 un exemple                    1n Eg-z@pl                    voilà un exemple de ma devant
3811 un avion                      1n a-vj§                      tu vois un avion là
3853 est il                        et il                         grégoire où est il ?
3861 est imperturbable             et 5-pER-tyR-babl             adrien il est imperturbable dans
3869 tout à                        tut a                         truc là tout à l'
3874 est untel                     et 1-tEl                      aussi c' est untel qui
3878 est à                         et a                          c' est à dire c' est
3890 est un                        et 1                          c' est un voiture i(l) marche
3901 vas y                         vaz i                         vas y grégoire !
3906 on avait                      §n a-vE                       a qu' on avait y
3932 quand il                      k@t il                        genre là quand il est
3932 quand il                      k@t il                        un trottoir quand il y
3934 vas y                         vaz i                         vas y .
3935 très intéressant              tREz 5-te-RE-s@               a paru très intéressant .
3936 est exactement                et Eg-zak-t°-m@               c' est exactement le processus de
3936 on appelle                    §n a-pEl                      méchante qu' on appelle d'
3938 est une                       et yn                         voitures c' est une voiture
3941 en es                         @n E                          alors où en es tu avec
3946 tes interventions             tez 5-tER-v@-sj§              cadre de tes interventions .
3953 les adverbes                  lez ad-vERb                   les adverbes de temps .
3954 tout à                        tut a                         matin , tout à l'
3954 tout a                        tut a                         heure dit tout a yeur
3958 peut être                     p2t EtR                       matin ça peut être hier
3963 quand il                      k@t il                        mais quand il utilise tout à
3963 tout à                        tut a                         il utilise tout à l'
3963 est un                        et 1                          heure c' est un tout
3963 tout à                        tut a                         est un tout à l'
3963 on a                          §n a                          heure passé on a fait
3963 tout à                        tut a                         fait ça tout à l'
3965 tout à                        tut a                         pas un tout à l'
3974 on en                         §n @                          dis donc on en aura
3974 en aura                       @n o-Ra                       donc on en aura quand
3990 quand il                      k@t il                        parce que quand il les
3990 les insulte                   lez 5-sylt                    quand il les insulte c'
