7 dis à                         dis à mamy !
33045 jouer à                       tu veux jouer à ça
33046 est à                         c(e) est à pol , ça
33047 est à                         c(e) est à pol , lui
33048 est à                         c(e) est à pol , ça
33049 ben oui                        ben oui .
33061 pas avancer                    ne peut pas avancer .
33065 loin encore                    et plus loin encore .
33066 ben oui                        ben oui , il vole .
33080 jouer à                       veux tu jouer à ça ?
33082 jouer à                       veux tu jouer à ça ,
33090 ben oui                        ah ben oui , il y
33099 parler un                      voudrait te parler un petit
33100 attends une                    attends une minute !
33105 parler à                      tu veux parler à max
33111 donner une                     veux tu donner une bouchée de
33125 vais essayer                   mhm je vais essayer .
33140 jouer à                       veux tu jouer à ça ?
33142 jouer à                       veux pas jouer à ça
33143 bonhommes ici                  donc tes bonhommes ici !
33149 jouer à                       veux tu jouer à ça
33154 ben oui                        ben oui je # à les
33157 maman est                      séchée , maman est partie
33159 fais avec                      que je fais avec toi
33169 ben oui                        ben oui .
33172 tantôt on                     là pi tantôt on va
33179 couper avec                    faut le couper avec un
33207 puis ensuite                   et puis ensuite comment on fait
33207 comment on                     puis ensuite comment on fait
33211 est une                        c(e) est une belle galette .
33212 mien aussi                     le mien aussi ?
33223 bonhommes ici                  un des bonhommes ici .
33225 doigt ici                      met mon doigt ici .
33226 puis ensuite                   et puis ensuite je met de
33228 dedans aussi                   ah là dedans aussi .
33229 ben oui                        ben oui .
33231 puis ensuite                   et puis ensuite je referme comme
33236 ben oui                        ben oui .
33243 ben oui                        ben oui .
33258 fais avec                      que tu fais avec ce
33262 comment il                     comment il ah c(e) est tu
33264 ben il                         ah ben il est disparu .
33278 demanderas à                  tu demanderas à , à crocro
33282 ben oui                        lignes , ben oui .
33291 non il                         ben non il te l' a
33302 pas encore                     pas encore ?
33305 viens ici                      viens ici , max !
33326 enlever un                     veux juste enlever un petit
33328 prends un                      , tu prends un petit
33331 prends après                  et tu prends après la petite
33336 mets ici                       tu la mets ici .
33345 pas en                         ) est pas en triangle
33348 coin avec                      le petit coin avec le
33360 prend un                       on en prend un autre .
33362 vais aller                     mais je vais aller me
33366 appris avec                    catherine a appris avec max .
33379 plies en                       là tu plies en triangle
33381 soit un                        que ce soit un petit
33382 ben oui                        ben oui .
33416 papier avec                    coller du papier avec du
33422 pas à                         en manges pas à ton
33429 et oui                         et oui on fait du bricolage
33431 vais aller                     je vais aller en chercher un
33431 aller en                       je vais aller en chercher un
33431 chercher un                    aller en chercher un autre
33446 ouais oui                      ouais oui .
33450 ben il                         ben il va surement en rester
33480 êtes habiles                  eh vous êtes habiles .
33483 continuer à                   tu peux continuer à jouer si
33484 pas obligé                    ) es pas obligé de
33484 rester ici                     obligé de rester ici ,
33485 peut essayer                   on peut essayer .
33487 fais un                        tu fais un petit chapeau ?
33490 ouais il                       ouais il faut qu' il y
33503 ben oui                        ben oui # .
33505 ben elle                       ben elle est là , ta
33507 est à                         , c(e) est à pol
33508 quand est-ce                   catherine , quand est-ce que
33517 veux arrêter                  # tu veux arrêter ?
33518 continuer à                   tu aller continuer à faire
33520 jouer à                       ou jouer à un autre jeu
33522 mains et                       laver tes mains et puis
33522 puis on                        mains et puis on va
33526 puis ensuite                   et puis ensuite tu vas pouvoir
33528 demander à                    on va demander à pol que
33530 voudrait une                   il voudrait une étampe rouge .
33546 est une                        c(e) est une étampe rouge ?
33548 feuilles aussi                 sur les feuilles aussi ,
33549 est un                         , c(e) est un clown
33550 est à                         il est à l' envers .
33551 ben il                         ah ben il fait une culbute
33551 fait une                       ben il fait une culbute
33556 est à                         ça il est à l'
33557 mais il                        mais il se tient sur ses
33560 ouais ouais                    ah ouais ouais ouais .
33560 ouais ouais                    ah ouais ouais ouais .
33564 est un                         , c(e) est un petit
33564 chat ou                        un petit chat ou un
33565 peux essayer                   que je peux essayer lui
33567 ben oui                        ben oui tu peux essayer lui
33567 peux essayer                   oui tu peux essayer lui
33574 est orange                     c(e) est orange , hein .
33580 est à                         c(e) est à halloween , ça
33582 mais il                        ouais , mais il y en
33583 est à                         , c(e) est à toi
33585 ben oui                        ben oui .
33607 autres ils                     ben les autres ils #
33612 gars aussi                     du petit gars aussi ,
33622 ben oui                        ah ben oui .
33624 puis il                        et puis il y a willy
33626 ben oui                        ben oui .
33628 arriver il                     il va arriver il va
33628 pas un                         c(e) est pas un livre
33630 ben on                         ok ben on va demander à
33630 demander à                    on va demander à maman
33630 maman en                       demander à maman en premier
33649 est un                         c(e) est un , un dessin
33650 puis il                        puis il y a tout des
33653 colles en                      tu colles en arrière .
33656 fait un                        puis ça fait un papillon
33656 papillon avec                  fait un papillon avec les
33657 est à                         , c(e) est à pol
33658 as un                          , tu as un beau
33671 mais il                        mais il était où , le
33671 était où                     mais il était où , le
33671 nez et                         pas de nez et puis
33672 ben on                         ben on va le faire .
33678 jouer à                       veux tu jouer à ça
33679 jouer à                       veux pas jouer à ça
33687 et on                          et on les connaît tous ,
33691 mais oui                       mais oui on les connaît .
33692 ben elle                       ben elle , tu la connais
33693 est arielle                    c(e) est arielle , la petite
33697 trouver où                    je vais trouver où est-ce que
33699 ben oui                        ben oui .
33702 as écouté                    tu l' as écouté ce matin
33710 était est                     lui était est drôle , hein
33723 pas une                        on a pas une bouche qu'
33729 dents ou                       les dents ou bien les lèvres
33731 dents ou                       mets les dents ou les
33735 est à                         elle est à l' envers .
33737 est à                         qu' elle est à l'
33741 non il                         non il y en a juste
33755 met un                         on lui met un nez
33767 veux avoir                     si tu veux avoir un petit
33767 pas avoir                      tu veux pas avoir de
33777 ben oui                        ah ben oui .
33784 ben il                         ah ben il est drôle ,
33800 ben oui                        ah ben oui t(u) as raison
33803 ben oui                        ben oui ça va avec le
33813 faut enlever                   il faut enlever les yeux ,
33825 nez orange                     le gros nez orange .
33830 fait avec                      qu' on fait avec les
33836 ben oui                        ben oui un peu .
33837 fait avec                      qu' on fait avec la
33840 eux autres                     pattes , eux autres ?
33843 trouver un                     tu de trouver un autre
33845 trouver un                     essayer de trouver un autre
33845 comment il                     pour voir comment il est
33845 est habillé                   comment il est habillé .
33859 est une                        c(e) est une vache ?
33866 mouton il                      intérieur) du mouton il y
33876 est une                        c(e) est une petite souris .
33879 et ensuite                     et ensuite de ça qu' est-ce
33932 non il                         ben non il est beau ,
33942 ben ouais                      ben ouais mettre des pattes .
33967 formes à                      livre de formes à ton
33971 avait un                       il y avait un livre comme
33972 mais il                        mais il y avait dedans le
33972 losanges aussi                 pi des losanges aussi .
33973 puis on                        oui et puis on avait
33979 est un                         , c(e) est un ovale
33981 aider à                       veux m(e) aider à les
33983 pousser un                     va en pousser un .
33988 jouer à                       il veut jouer à ça
33990 non il                         non il peut , il peut
33990 peut enlever                   , il peut enlever ça
33996 montrer à                     veux tu montrer à monsieur patate
33998 mais il                        mais il pourrait faire autre chose
34007 comment on                     comment on fait ça , ##
34017 est une                        , c(e) est une tête
34026 comment on                     alors comment on fait ?
34037 nez où                        le nez où ?
34038 nez où                        pas le nez où est-ce
34043 ben on                         ben on ne va pas le
34046 yeux où                       pas les yeux où est-ce
34048 pas un                         pas un bras où est-ce qu'
34048 bras où                       pas un bras où est-ce qu'
34051 mets un                        tu mets un autre nez ?
34063 ben au                         bon ben au moins il a
34063 moins il                       ben au moins il a
34065 ben oui                        ben oui , il a deux
34066 ben il                         ben il reste .
34068 ben oui                        ben oui , on pourrait .
34073 ben il                         ben il est # .
34075 sinon il                       parce que sinon il ne peut
34085 deux oreilles                  il a deux oreilles .
34091 veux en                        tu veux en faire un nouveau
34098 est assis                      qu' il est assis .
34099 est assis                      il est assis comme ça .
34102 ben oui                        ben oui , tu peux faire
34103 ben oui                        ben oui .
34105 comment elle                   elle , comment elle # comment
34105 comment elle                   elle # comment elle s'
34119 eux autres                     eux autres , les petits chiens
34132 comment on                     comment on l' ouvre ?
34138 chercher un                    j(e) aille chercher un petit
34145 est un                         c(e) est un petit lapin .
34158 peut utiliser                  si elmo peut utiliser ça ,
34158 peut utiliser                  , max peut utiliser ça
34169 plus ici                       ) est plus ici .
34188 comment il                     sais pas comment il s'
34211 essuyer avec                   peux les essuyer avec ça
34216 viens ici                      viens ici !
34229 viens ici                      viens ici !
34277 bonhommes ici                  , les bonhommes ici .
34278 as oublié                     , tu as oublié ?
34280 mets à                        tu te mets à l' envers
34283 est encore                     c(e) est encore comme lui ?
34302 dessin ici                     regarde le dessin ici !
34307 est ici                        , il est ici .
34344 nez encore                     moucher ton nez encore .
34375 aider à                       tu m' aider à faire
34380 vois encore                    tu le vois encore ?
34387 jouer aux                      veux tu jouer aux spirales
34389 jouer au                       tu venir jouer au spirographe
34393 dessiner avec                  tu veux dessiner avec les crayons
34397 pas encore                     pas encore .
34404 mais il                        mais il faut absolument dessiner avec
34404 faut absolument                mais il faut absolument dessiner avec
34404 dessiner avec                  faut absolument dessiner avec ce
34408 vais aller                     , je vais aller chercher
34415 était à                      , c(e) était à .
34417 ben oui                        ben oui , mais là tu
34417 jouer avec                     pas venir jouer avec moi
34444 fait un                        en ai fait un .
34447 dirait un                      on dirait un papillon .
34449 regarder avec                  tu le regarder avec les
34450 ben il                         ben il faut # mettre les
34450 regarder avec                  pour les regarder avec les
34456 peux emprunter                 que je peux emprunter ton
34486 mais il                        mais il ne fait pas comme
34492 ben oui                        ah ben oui , elmo ,
34493 essayer avec                   tu venir essayer avec moi
34498 est encore                     un qui est encore plus
34502 est où                        il est où ?
34505 jouer avec                     veux plus jouer avec elle
34510 vas encore                     que tu vas encore jouer
34510 jouer avec                     vas encore jouer avec catherine
34513 mais est-ce                    mais est-ce que tu vas revenir
34513 jouer avec                     vas revenir jouer avec catherine
34514 jouer à                       tu voudrais jouer à quoi ?
34519 jouer avec                     il veut jouer avec toi
34521 alors on                       alors on va .
34522 ben oui                        ben oui , je vais aller
34522 vais aller                     , je vais aller avec
34522 aller avec                     je vais aller avec toi
34524 jouer avec                     tu veux jouer avec quoi avec
34527 jouer avec                     tu veux jouer avec quoi #
34534 aller ici                      ça va aller ici ,
34548 viens ici                      regarde , viens ici !
34552 lunettes on                    avec les lunettes on voit
34564 vois aussi                     tu vois aussi que ça bouge
34566 mais as                        mais as tu vu ton manteau
34575 est à                         , c(e) est à toi
34578 ben ouvre                      ok , ben ouvre la !
34579 pas apporté                   ) ai pas apporté crocro
34585 est encore                     , c(e) est encore un
34587 puis on                        défaire et puis on va
34593 est une                        c(e) est une oreille ou c(e)
34593 est une                        ou c(e) est une langue
34594 est une                        c(e) est une langue , hein
34595 est une                        non c(e) est une oreille .
34604 ouais une                      ouais une grosse langue rouge .
34607 pieds avec                     les pieds avec des orteils ?
34618 viens ici                      viens ici !
34619 viens ici                      viens ici !
34637 aller à                       pour aller à bicyclette ?
34646 est un                         , c(e) est un perroquet
34649 est un                         c(e) est un perroquet .
34650 était ici                     autre qui était ici là
34650 est un                         , c(e) est un toucan
34651 est un                         ouais c(e) est un oiseau .
34654 amener avec                    , l' amener avec toi
34655 fait un                        a pas fait un casse
34656 essayer un                     tu en essayer un ?
34668 ben on                         ben on va ranger les pattes
34678 faut appuyer                   là il faut appuyer sur les
34686 as un                          là t(u) as un casque .
34687 jouer à                       veux tu jouer à l' auto
34688 ressembler à                  tu vas ressembler à un pilote
34689 vas aller                      tu vas aller vite vite vite
34698 droit ici                      un morceau droit ici ?
34701 ben oui                        ah ben oui c(e) est pour
34702 avions ou                      les avions ou le train ?
34714 fais attention                 fais attention !
34717 ben oui                        ben oui c(e) est vrai .
34748 peut accrocher                 qu' on peut accrocher ?
34750 fait un                        ça fait un petit wagon .
34814 ben il                         oui ben il faut que tu
34819 est arrivé                    est-ce qui est arrivé ,
34830 passer en                      il puisse passer en dessous
34843 êtes en                       vous êtes en train de faire
34851 était occupée                , elle était occupée à
34852 fait une                       j(e) ai fait une #
34860 trop en                        c(e) était trop en haut
34860 en haut                        était trop en haut .
34866 seulement ici                  être # seulement ici .
34883 avion et                       dans l' avion et puis
34883 puis on                        avion et puis on s'
34894 puis hop                       le ciel puis hop .
34898 atterrit encore                il atterrit encore ?
34909 train ou                       ou un train ou ?
34911 peux avoir                     je peux avoir le train ,
34912 ouais il                       ouais il y a l' autobus
34913 dedans aussi                   mon bagage dedans aussi .
34922 avion avait                    que l' avion avait atterri
34922 avait atterri                  l' avion avait atterri .
34929 faut en                        il faut en mettre beaucoup parce
34946 est où                        , c(e) est où ,
34954 alors on                       alors on s' en va en
34956 peut embarquer                 , on peut embarquer sur
34957 ben oui                        ben oui j(e) t' ai mis
34969 train aussi                    pour le train aussi ?
34975 accident avec                  failli faire accident avec toi
34980 viens avec                     m' en viens avec un
34987 ben on                         eh ben on va faire un
34990 veux aller                     tu veux aller par là ?
34992 attends une                    attends une seconde !
34994 peut aller                     on peut aller par là par
34995 ouais on                       ouais on va faire un long
34996 était en                      là max était en premier ,
35013 suis accrochée                , je suis accrochée #
35018 pas aller                      ne veux pas aller où
35018 aller où                      veux pas aller où ?
35020 veux aller                     , tu veux aller sur
35028 wagon à                       et le wagon à catherine est
35032 ben oui                        ben oui il y a des
35040 ben il                         ben il faut que tu ,
35040 demandes où                   tu lui demandes où est-ce
35042 as encore                      que t(u) as encore mal
35050 mais où                       mais où ?
35057 sinon il                       parce que sinon il va
35058 dormes au                      que tu dormes au milieu
35099 est à                         lui qui est à l'
35115 mais il                        mais il est ici , ernest
35115 est ici                        mais il est ici , ernest
35124 demander à                    on va demander à crocro si
35124 maison avec                    construire une maison avec nous
35131 et avec                        ça # et avec ça
35138 viens ici                      viens ici !
35140 faut il                        il faut il faudra que tu
35146 viens ici                      viens ici , que je te
35149 as encore                      que t(u) as encore mal
35155 tantôt on                     encore mal tantôt on pourra
35163 doigt ici                      est mon doigt ici là
35164 doigt ici                      pi mon doigt ici ?
35169 ben oui                        ben oui on peut le mesurer
35178 fait un                        eh ça fait un beau petit
35182 ben oui                        ben oui .
35183 fais attention                 fais attention !
35186 es haut                        eh t(u) es haut là pas
35189 ben oui                        ben oui .
35194 coussin est                    le coussin est tombé .
35196 vert ici                       le vert ici ?
35197 regarder avec                  tu vas regarder avec crocro ?
35205 vas où                        t' en vas où là
35208 fait avec                      j(e) ai fait avec la
35210 est une                        oh c(e) est une # .
35212 comment on                     comment on fait ?
35215 est en                         crocro qui est en train
35225 fais attention                 fais attention !
35230 viens ici                      viens ici !
35231 montrer à                     je vais montrer à crocro qu'
35231 fait avec                      j(e) ai fait avec la
35234 montrer ici                    vais lui montrer ici .
35242 raconter à                    me le raconter à ,
35246 raconter à                    vas la raconter à moi
35248 vais apporter                  mais je vais apporter crocro aussi
35249 veut euh                       , il veut euh ,
35249 veut entendre                  , il veut entendre l'
35250 sinon il                       parce que sinon il va être
35254 poser une                      veut te poser une question
35261 et ensuite                     et ensuite ?
35293 content ouh                    est tout content ouh .
35339 dis à                         ben dis à maman qu' est-ce
35339 est arrivé                    est-ce qui est arrivé à
35343 ouais à                       ouais à la patte .
35351 chercher un                    t' en chercher un ?
35359 mais il                        mais il faut que tu me
35362 sinon il                       parce que sinon il va tomber
35366 viens ici                      viens ici !
35374 vais essayer                   , je vais essayer de
35375 dort il                        quand il dort il fait
35375 fait il                        dort il fait il ronfle
35391 ben on                         ben on pourrait demander à crocro
35391 demander à                    on pourrait demander à crocro
35396 ben il                         bon ben il faudrait lui demander
35396 demander aussi                 faudrait lui demander aussi euh
35396 modeler il                     pâte à modeler il veut
35398 fait avec                      on le fait avec crocro ?
35399 ouais ok                       ouais ok .
35407 non il                         non il (n' ) a pas
35417 mais il                        peut regarder mais il (n'
35422 lapin a                        que ton lapin a encore
35427 lourd aussi                    il est lourd aussi ?
35432 ben il                         ah ben il y en a
35446 mauvais endroit                pèse au mauvais endroit .
35447 peut essayer                   que crocro peut essayer ,
35448 peux essayer                   que je peux essayer ?
35458 veux un                        , je veux un câlin
35460 câlin à                      câlin à lapin .
35467 était une                     que c(e) était une vraie
35470 fait un                        que ça fait un bonhomme
35472 fait un                        que ça fait un bonhomme
35475 ben oui                        oh ben oui regarde !
35481 ben il                         ben il a beaucoup de mains
35490 pas une                        ) est pas une patte
35492 pas encore                     ) ai pas encore eu
35537 main ici                       a sa main ici .
35544 ben oui                        ben oui les maringouins sont sortis
35552 aller à                       il va aller à ta rencontre
35557 aller en                       ça , aller en cheval
35558 peux embarquer                 je peux embarquer ?
35560 mieux avec                     ça marche mieux avec un chapeau
35566 peux essayer                   que je peux essayer ton
35572 ouais il                       ouais il a juste une petite
35577 est arrivé                    il m' est arrivé quelque chose
35579 fait une                       j(e) ai fait une gaffe .
35581 est arrivé                    ça m' est arrivé quand je
35585 chat en                        poussé le chat en bas
35587 mais il                        mais il a râlé .
35601 quand est-ce                   quand est-ce que tu vas avoir
35601 vas avoir                      que tu vas avoir un
35607 mais il                        mais il va être tout petit
35612 chats en                       pousse les chats en bas
35613 non il                         non il ne faut pas le
35621 vais aller                     , je vais aller te
35621 chercher un                    aller te chercher un petit
35627 nez un                         ton petit nez un petit
35641 ben oui                        ben oui .
35646 coucher hier                   de me coucher hier #
35648 est arrivé                    est-ce qui est arrivé avec
35649 fait une                       ai encore fait une grosse
35652 ben attends                    ben attends !
35655 chat a                         que le chat a fait
35661 plein il                       il avait plein il était
35681 ben oui                        ben oui .
35716 ben ouais                      ben ouais .
35721 flatter avant                  vais le flatter avant un
35721 avant un                       le flatter avant un peu
35725 pas un                         ) es pas un chat
35726 es un                          t(u) es un crocodile , toi
35727 pas un                         ) es pas un minou
35738 pas un                         ) est pas un policier
35739 est un                         c(e) est un policier ?
35744 fait une                       qu' on fait une petite
35746 ben on                         ah ben on va faire une
35758 maison ici                     construire ma maison ici là
35776 aimerais avoir                 j(e) aimerais avoir # une cuisine
35785 puis euh                       puis euh sais tu quoi d'
35785 aimerais avoir                 que j(e) aimerais avoir dans
35787 aimerais avoir                 j(e) aimerais avoir une salle de
35789 dans où                       comme dans où ?
35791 veux une                       j(e) en veux une comme ça
35794 puis euh                       puis euh dans la salle de
35794 jeux aussi                     salle de jeux aussi il
35794 pouvait y                      aussi il pouvait y avoir
35798 est haut                       ouh c(e) est haut .
35800 est une                        c(e) est une maison building .
35801 est haut                       pourquoi c(e) est haut ?
35803 est à                         c(e) est à cause de sa
35807 pourrais habiter               que je pourrais habiter dedans
35807 dedans après                  pourrais habiter dedans après ?
35811 est assez                      mais c(e) est assez beau
35816 est une                        eh c(e) est une bonne idée
35817 est une                        c(e) est une très très bonne
35837 et ensuite                     et ensuite m .
35843 peux en                        que je peux en avoir
35847 aimerais avoir                 puis j(e) aimerais avoir euh .
35862 pas à                         ne ressemble pas à ça
35865 vert et                        pas le vert et jaune
35871 ben on                         ben on va le trouver .
35875 bien écouter                  crocro va bien écouter en plus
35875 écouter en                    va bien écouter en plus
35878 après un                      ça va après un autre
35884 ben attends                    ah ben attends !
35888 pas après                     ) est pas après l'
35896 bien eu                        l' as bien eu ,
35899 peux essayer                   que je peux essayer ,
35900 pieds à                       oups les pieds à max .
35905 camions aussi                  autres petits camions aussi ?
35906 pied était                    ah ton pied était dedans
35913 comment il                     il euh comment il s'
35927 mais oui                       mais oui il aime ça ,
35929 manger ou                      , les manger ou tu
35933 nager avec                     il aime nager avec les
35938 donner un                      il veut donner un bisou à
35942 racontes une                   tu me racontes une histoire
35946 viens ici                      non ben viens ici !
35947 viens ici                      viens ici !
35950 ben attends                    ok ben attends !
35952 asseois où                    je m' asseois où ?
35956 vas aller                      tu vas aller chercher quoi ?
35961 fait un                        ça fait un canot ?
35973 rendus où                     on était rendus où ?
35988 veux une                       tu veux une banane ?
36014 rendus à                      on était rendus à mickey
36014 partait en                     mickey qui partait en bateau
36019 port où                       dans le port où est-ce
36025 marin alors                    veut devenir marin alors il
36025 alors il                       devenir marin alors il signe
36029 vais en                        là je vais en apporter
36029 apporter un                    vais en apporter un comme
36030 est une                        , c(e) est une branche
36031 et un                          et un bout de bois là
36034 veux aller                     quand tu veux aller dormir
36034 part ou                        dans quelque part ou quand
36035 attaches après                tu l' attaches après le
36039 apporter un                    s' en apporter un comme
36048 ben oui                        ah oui ben oui c(e) est
36071 comment on                     sais tu comment on appelle ça
36088 coup i(ls)                     d' un coup i(ls) ont
36096 mais ici                       oui mais ici le bleu ,
36097 vert ici                       pi le vert ici , c(e)
36109 chercher un                    veux te chercher un autre
36113 comment il                     comment il s' appelle , lui
36117 est une                        c(e) est une petite souricette .
36125 est en                         , il est en train
36128 vais être                     , je vais être sage
36135 ben oui                        ah ben oui je le vois
36137 vas aller                      tu vas aller t' en chercher
36137 chercher une                   t' en chercher une autre
36138 vas aller                      ok tu vas aller chercher une
36138 chercher une                   vas aller chercher une autre
36146 tombés à                     sont toute tombés à l'
36148 tombés à                     sont toute tombés à l'
36153 est un                         ben c(e) est un pas mal
36155 est essoufflé                 il est essoufflé .
36156 ben oui                        ben oui regarde !
36203 tantôt il                     ok , tantôt il ne
36207 jouer au                       veux tu jouer au petit
36211 veux une                       tu veux une autre histoire ?
36217 en une                         apporte en une !
36221 aimerais avoir                 laquelle t(u) aimerais avoir ?
36222 vais en                        , je vais en raconter
36222 raconter une                   vais en raconter une autre
36233 est un                         c(e) est un chat .
36234 est un                         c(e) est un lion .
36235 est un                         c(e) est un chien .
36236 est une                        c(e) est une sauterelle .
36240 est un                         c(e) est un éléphant .
36241 est une                        , c(e) est une vache
36243 est un                         , c(e) est un lion
36246 est un                         c(e) est un petit brun .
36247 t il                           y a t il d' autres
36257 plein ici                      en a plein ici .
36266 est un                         c(e) est un cheval .
36272 est un                         , c(e) est un pélican
36274 demander à                    on va demander à crocro !
36286 mais il                        mais il faut lui demander #
36290 raconter une                   je vais raconter une histoire
36301 est un                         c(e) est un vrai coq ?
36312 donner un                      vas me donner un petit
36315 un à                          un à la vache ?
36323 matin il                       , chaque matin il s'
36327 mais elle                      mais elle ne peut pas parce
36352 ben il                         ben il (n' ) y en
36354 sont où                       ils sont où ?
36355 non il                         non il (n' ) y en
36358 pas un                         ) est pas un petit
36360 est un                         c(e) est un raisin .
36372 doigt ici                      a son doigt ici ,
36387 t elle                         se réveille t elle pas
36389 est à                         ben c(e) est à son
36396 et il                          et il y en a un
36404 vais amener                    je vais amener ça ici .
36415 peut aller                     on peut aller là aussi .
36417 peux avoir                     , je peux avoir ?
36420 deux ici                       en a deux ici .
36422 ben oui                        ah ben oui .
36428 ben il                         ben il y en a un
36428 un ici                         un , un ici mais
36429 ben il                         ben il rentre dedans mais il
36429 mais il                        rentre dedans mais il va
36432 ben on                         ben on va le mettre là
36434 ben oui                        ben oui .
36436 est où                        il est où , le tunnel
36457 jouer à                       on pourrait jouer à la pâte
36463 peux en                        que je peux en faire
36469 pourrais en                    ça je pourrais en faire
36477 comment en                     me dire comment en placer
36479 rails aussi                    euh les rails aussi ?
36489 est un                         c(e) est un petit bonhomme ?
36496 fait un                        ça fait un pont .
36504 mais attends                   mais attends !
36506 train était                   que ton train était brisé
36515 et un                          et un par dessus l' autre
36516 vert ici                       mettre le vert ici ?
36522 as eu                          tu l' as eu ,
36536 ben on                         ben on va le laisser là
36538 jouer à                       veux tu jouer à autre chose
36542 ben oui                        ben oui ben si tu lui
36545 demandes à                    tu lui demandes à catherine
36546 bien avoir                     j(e) aimerais bien avoir mon
36549 chercher un                    je vais chercher un petit mouchoir
36550 jouer à                       on peut jouer à autre chose
36551 jouer à                       voudrais tu jouer à la pâte
36552 rester un                      je vais rester un petit
36553 jouer avec                     tu veux jouer avec maman ?
36567 mets à                        tu les mets à l' envers
36577 est où                        il est où ?
36578 est avec                       eh il est avec tous les
36578 amis en                        tous les amis en haut
36578 en haut                        les amis en haut ?
36580 fait un                        il a fait un gros ménage
36580 en haut                        les # en haut .
36581 doit être                     il doit être content , crocro
36583 est haut                       c(e) est haut , hein .
36586 jouer au                       tu veux jouer au baseball ?
36601 vais où                       , je vais où ?
36602 vais où                       , je vais où ,
36617 loin encore                    plus loin encore !
36630 as eue                         tu l' as eue .
36642 ben ouais                      ben ouais .
36646 viens ici                      , tu viens ici ?
36673 jouer au                       jouer au hockey ?
36676 vais essayer                   je vais essayer de l' attraper
36705 est un                         c(e) est un bâton de baseball
36707 jouer au                       on va jouer au hockey
36717 comment on                     comment on joue à ça ?
36721 vais essayer                   je vais essayer quelque chose .
36725 est un                         c(e) est un houla houp ?
36733 peux avoir                     je peux avoir l' autre ?
36739 ben oui                        ben oui tu ne sautes pas
36741 sauter à                      sauter à l' intérieur ?
36742 ben oui                        ben oui .
36751 est un                         c(e) est un gros vaisseau ,
36752 est un                         c(e) est un vaisseau spatial ?
36753 est un                         , c(e) est un autre
36763 est où                        , c(e) est où ,
36764 est où                        mais c(e) est où , la
36766 ben alors                      ben alors .
36771 apporter une                   pas d' apporter une surprise
36771 et à                          à max et à pol
36786 avais un                       tu en avais un l' autre
36788 viens un                       viens un peu ici !
36795 jouer avec                     viens jouer avec moi !
36797 bon ok                         bon ok , je me #
36803 papier ici                     le petit papier ici ?
36820 continuer à                   veux tu continuer à jouer
36820 jouer au                       continuer à jouer au train
36822 continuer à                   tu veux continuer à jouer
36822 jouer à                       continuer à jouer à .
36826 jouer au                       veux tu jouer au train
36826 train avec                     jouer au train avec moi
36827 ben oui                        ah ben oui .
36828 mais alors                     mais alors .
36839 chercher un                    va aller chercher un petit
36840 promener avec                  va se promener avec ça
36845 est une                        , c(e) est une petite
36859 jouer au                       veux pas jouer au train
36860 jouer à                       tu veux jouer à quoi
36866 jouer à                       tu veux jouer à ça
36869 ben on                         ok , ben on va jouer
36869 jouer à                       on va jouer à ça
36871 ben on                         ok , ben on va jouer
36871 jouer à                       on va jouer à ça
36878 ben il                         ben il faudra que tu prennes
36878 prennes une                    que tu prennes une bouchée
36885 ben oui                        ben oui .
36887 chocolat autour                donner le chocolat autour de
36890 mais il                        pas ça mais il l'
36894 apporter une                   va t' apporter une débarbouillette
36897 alors on                       alors on les tourne à l'
36901 alors il                       alors il faut dire qu' est-ce
36905 ben un                         oh ben un cochon , c(e)
36915 vert aussi                     qui est vert aussi .
36918 comment il                     comment il s' appelle , lui
36921 maintenant il                  il faut maintenant il faut trouver
36927 est un                         , c(e) est un camion
36938 ben on                         ben on les trouvera tantôt .
36947 aller avec                     ça va aller avec le soleil
36966 nager à                       d' aller nager à la
36993 chaussures ou                  chaussures ou chaussettes ?
36998 avait enlevé                  qu' elle avait enlevé .
37006 ben il                         ah ben il ne bouge plus
37012 est arrivés                   donc on est arrivés aux chaussettes
37012 arrivés aux                   on est arrivés aux chaussettes
37023 est où                        il est où , ton nombril
37025 est un                         il est un peu plus bas
37028 mais il                        oui , mais il est là
37030 ben ouais                      ben ouais , moi aussi ,
37037 et elle                        et elle nage à la piscine
37053 est un                         , c(e) est un bonnet
37054 pas un                         ) est pas un chapeau
37055 est un                         c(e) est un bonnet .
37063 est où                        il est où ?
37067 est à                         il est à côté du manteau
37073 manteaux en                    a deux manteaux en fait
37074 chercher un                    vais te chercher un autre
37076 ben oui                        ben oui , c(e) est la
37079 installer à                   vais m' installer à côté
37082 chercher un                    est parti chercher un autre
37084 est un                         c(e) est un tee shirt ?
37107 pages ont                      toutes les pages ont tourné
37107 seules avec                    tourné toutes seules avec le
37112 en haut                        en haut , c(e) est quoi
37121 chaussons ou                   chaussons ou chaussures ?
37135 veux un                        tu veux un autre livre ?
37143 est hou                        c(e) est hou hou le hibou
37144 est où                        , il est où ?
37145 est où                        il est où , ouh ouh
37147 vient après                   ce qui vient après .
37148 raconter alors                 me le raconter alors ?
37149 raconter hibou                 tu vas raconter hibou , à
37160 petit hibou                    demande le petit hibou .
37168 petit hibou                    demande le petit hibou .
37174 petit hibou                    demande le petit hibou .
37178 ben hier                       ben hier soir tu me les
37180 petit hibou                    demande le petit hibou .
37181 comment il                     comment il fait , le canard
37187 petit hibou                    demande le petit hibou .
