7 dis à                         dis à mamy !
1693 jeter à                       peut bien jeter à la
1694 rien en                        ne peut rien en faire
1698 sert à                        ça sert à quoi , ça
1701 sert à                        ça sert à quoi , cette
1704 sert à                        , elle sert à quoi
1711 doit en                        mais parrain doit en avoir
1715 est un                         c(e) est un gros briquet ,
1716 comment il                     du tout comment il fonctionne
1718 non il                         non il n' est pas bloqué
1720 est une                        , c(e) est une petite
1724 est à                         il est à parrain , il
1725 comment on                     sais pas comment on fait
1738 est un                         c(e) est un briquet , ça
1741 bien on                        eh bien on mettra léa quand
1755 mais attends                   mais attends parce qu' il y
1757 viens avec                     viens avec maman dans la cuisine
1758 viens à                       viens à côté de moi ,
1761 non il                         non non il faut vider .
1771 et à                          à mamy et à parrain
1771 roules en                      comment tu roules en vélo
1774 maman est                      maman est en train de la
1774 est en                         maman est en train de la
1775 bouchon est                    , le bouchon est refermé
1786 comment on                     tu sais comment on la prend
1788 devrais essayer                tu devrais essayer avec l' autre
1788 essayer avec                   tu devrais essayer avec l' autre
1799 amis en                        tes petits amis en vacances
1800 viennent ici                   qu' ils viennent ici te
1808 fais attention                 fais attention !
1810 fais un                        si tu fais un accident
1810 accident avec                  fais un accident avec minnie
1819 pas à                         ne vas pas à la
1838 est une                        c(e) est une copine , hein
1847 est un                         c(e) est un caddie , ça
1848 pas un                         n' est pas un vélo
1848 est un                         , c(e) est un caddie
1858 mieux installée               elle sera mieux installée .
1868 autrement elle                 autrement elle fera pipi en faisant
1872 veux un                        tu veux un kleenex pour essuyer
1876 maintenant elle                voilà maintenant elle peut aller faire
1876 peut aller                     maintenant elle peut aller faire
1877 ben oui                        ah ben oui mais le kleenex
1877 met à                         on le met à la
1879 maintenant elle                maintenant elle peut faire dodo .
1881 partez encore                  que vous partez encore en
1882 aller à                       pour aller à l' école ?
1888 est en                         , elle est en pleine
1888 hein oui                       elle , hein oui ?
1889 vas aller                      que tu vas aller faire
1894 bien installée                elle est bien installée .
1895 bien être                     j(e) aimerais bien être à
1909 peut aller                     on peut aller dans la chambre
1911 peut y                         qu' on peut y aller
1921 et on                          et on laisse fermées les tentures
1928 canard euh                     , le canard euh le
1929 canard aussi                   le canard aussi , il est
1932 bien installé                 monde est bien installé ?
1936 pas aller                      ne doit pas aller dans
1939 parrain est                    parrain est trop gros ?
1941 lit est                        le lit est trop grand ?
1945 raconter une                   et pour raconter une histoire
1948 est une                        mais c(e) est une madame
1950 est une                        comme c(e) est une madame
1950 dit elle                       , on dit elle .
1951 raconter une                   tu vas raconter une histoire
1954 sont eux                       ah ce sont eux , les
1969 est un                         c(e) est un mot difficile ,
1975 hein oui                       hein oui ?
1976 matin et                       est le matin et qu'
1978 mélanges un                   que tu mélanges un peu
1989 ben alors                      ben alors si ils font dodo
1992 pas à                         ne serait pas à son
1993 mais on                        mais on n' oublie pas l'
1994 t elle                         où va t elle , martine
1997 et elle                        et elle rencontre des petites amies
1997 amies au                       des petites amies au parc
1999 alors il                       font dodo alors il n'
2000 mais on                        mais on ne verra plus rien
2001 parler et                      arrêtait de parler et si
2001 allait à                      si on allait à côté
2002 maintenant ils                 maintenant ils font dodo tu fermes
2011 faut allumer                   (il) faut allumer , alors .
2016 ben oui                        ben oui parce que tes petits
2032 ben il                         ben il a des boutons à
2032 boutons à                     a des boutons à son
2037 besoin en                      ont tous besoin en même
2038 vas avoir                      là tu vas avoir du
2045 es en                          # tu es en train
2048 non on                         non on attend que tu sois
2051 donnes un                      m' en donnes un gros
2051 gros aussi                     donnes un gros aussi ,
2063 marcher ici                    les faisais marcher ici ?
2065 fais aller                     tu fais aller la sonnette ?
2071 heures et                      est six heures et demie
2076 heures et                      six heures et demie , c(e)
2076 heures et                      , six heures et demie
2081 mais il                        ah mais il ne faut pas
2082 mais elle                      oui mais elle n' aime pas
2082 pas elle                       n' aime pas elle n'
2085 maman aille                    veux que maman aille chercher
2086 non il                         ah non il y a du
2094 est une                        ah c(e) est une gourde ,
2099 vas aller                      tu vas aller te cacher pour
2117 non elle                       ben non elle n' a pas
2122 fruits est                     jus de fruits est meilleur
2134 pas avec                       oh non pas avec du jus
2145 autrement on                   autrement on va les cuire ,
2156 et ils                         et ils reviennent d' où ?
2164 hein oui                       dessus , hein oui ?
2166 est allées                    on est allées où ?
2166 allées où                    on est allées où ?
