2199 tiens on                       tiens on y va mais tu
2199 fais attention                 mais tu fais attention parce
2199 pas où                        je sais pas où est
2203 veux à                        tu veux à boire ?
2209 pas hein                       tombe pas hein .
2212 ben oui                        oui ben oui bon .
2222 veux encore                    t(u) en veux encore ?
2243 bien étalé                   t(u) as bien étalé ?
2256 plus hein                      debout non plus hein ?
2273 pas à                         tu touches pas à ça .
2274 pas avec                       on joue pas avec les poubelles
2286 viens avec                     atata viens avec moi .
2291 cours après                   j(e) te cours après hein mhm
2291 après hein                    te cours après hein mhm
2296 doux hein                      c' est doux hein ?
2309 fais un                        , tu fais un bisou
2314 attends on                     attends on va le faire comme
2323 hein anaïs                    hein anaïs .
2327 calîn aussi                   oh un calîn aussi .
2336 pas obligé                    t(u) es pas obligé d(e)
2343 trouves aut(r)e                tu trouves aut(r)e chose .
2345 tiens un                       tiens un gant .
2346 veux un                        tu veux un gant ?
2351 doigts hein                    des grands doigts hein .
2377 et ouais                       et ouais mais je l' ai
2380 attends on                     attends , attends on va poser
2383 viens on                       viens on film maman !
2385 attends on                     attends on va arriver à la
2385 arriver à                     on va arriver à la
2389 regardes un                    oh , regardes un peu .
2404 p(e)tit écran                 le p(e)tit écran .
2422 sont où                       ils sont où ?
2427 pied oui                       est le pied oui .
2447 installer ou                   veux t' installer ou tu
2457 pas un                         c' est pas un calîn ça
2466 bon on                         non bon on reste là .
2481 non il                         non il rentre pas là .
2509 es un                          tu es un p(e)tit peu basse
2510 bien anaïs                    bien anaïs oui ?
2514 ben y                          ben y a rien ?
2520 peux enlever                   que j(e) peux enlever les
2521 vais enlever                   oh je vais enlever les pieds
2522 bas aussi                      être trop bas aussi .
2526 es installée                  voilà t(u) es installée .
2531 ben oui                        ben oui mais je sais pas
2531 cherches à                    que tu cherches à faire
2537 pas avoir                      , pour pas avoir froid
2542 es où                         t(u) es où ?
2546 bien un                        j(e) veux bien un café
2549 et après                      et après , voilà bravo c'
2551 hein hop                       bravo hein hop allez !
2552 maintenant hein                l' heure maintenant hein ?
2554 ben oui                        ben oui t(u) as pas réalisé
2555 vas escalader                  accord tu vas escalader .
2571 mais elle                      oui non mais elle a décide
2571 pas anaïs                     elle parlerait pas anaïs .
2579 attends on                     attends on va l(e) retirer .
2615 vois oh                        qu(e) je vois oh dis
2617 fais attention                 fais attention les doigts .
2629 attention anaïs               attention anaïs .
2635 abord au                       pied d' abord au dessus
2649 pas intéressant               c' est pas intéressant ?
2652 veux un                        tu veux un livre ?
2657 viens avec                     tu viens avec moi ou pas
2658 dis on                         dis on descend pas comme ça
2665 vas où                        tu vas où ?
